stamp,x,y,yaw,cov_x,cov_y,cov_yaw,planner_belief_x,planner_belief_y,planner_belief_yaw,planner_cov_x,planner_cov_y,planner_cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,optimizer_success,optimizer_status,optimizer_nit,optimizer_nfev,optimizer_message,plan_time_ms,solve_time_ms,measurement_available,belief_age_s,p_vis_plan,p_vis_plan_eff,r_plan_u_std,r_plan_v_std,efe_total,efe_risk,efe_ambiguity,efe_control,efe_visibility,efe_obstacle,seed
5.005,-4.99999999999593,2.4000000000000123,-4.891721505852838e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.078,-4.99999999999593,2.4000000000000123,-4.8917216013427e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.189,-4.99999999999593,2.4000000000000123,-4.891721604021208e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.27,-4.99999999999593,2.4000000000000123,-4.89172159572103e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.369,-4.99999999999593,2.4000000000000123,-4.891721573277973e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.49,-4.99999999999593,2.4000000000000123,-4.891721588400199e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.5920000000000005,-4.99999999999593,2.4000000000000123,-4.891721570712553e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.691,-4.99999999999593,2.4000000000000123,-4.891721572986164e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.789,-4.99999999999593,2.4000000000000123,-4.891721568966127e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.889,-4.99999999999593,2.4000000000000123,-4.8917215567926575e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
5.99,-4.99999999999593,2.4000000000000123,-4.891721543934882e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.089,-4.99999999999593,2.4000000000000123,-4.8917215446158254e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.169,-4.99999999999593,2.4000000000000123,-4.891721531823339e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.28,-4.99999999999593,2.4000000000000123,-4.891721546735166e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.389,-4.99999999999593,2.4000000000000123,-4.8917215548812855e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.49,-4.99999999999593,2.4000000000000123,-4.891721546413781e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.59,-4.99999999999593,2.4000000000000123,-4.891721562191806e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.6690000000000005,-4.99999999999593,2.4000000000000123,-4.891721551133949e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.793,-4.99999999999593,2.4000000000000123,-4.891721519670851e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.889,-4.99999999999593,2.4000000000000123,-4.891721494151753e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.99,-4.99999999999593,2.4000000000000123,-4.891721448757459e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,-0.8,-3.0,6.841052550592339,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.09,-4.999340000986826,2.3999990100007524,-0.003000000002941785,0.0,0.0,1e-12,-4.99999999999593,2.40000000000001,-4.8917216013427e-12,0.0002683050789985353,0.0004913353895609712,0.002245,0.22,-1.0,-0.8,-3.0,6.840646588729544,25,1.056000000000001,1.0,0.0,10.0,11.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3094.045834004646,3040.363611013163,1.0,0.111,0.9998636236615662,0.9995909267776794,3.7769403556112873,3.7769403556112873,1628.6197990883513,1500.5095054396277,109.62016831166542,0.0,18.490125337058256,2.4733099069345518e-14,0
7.177,-4.981760958305917,2.399242644935186,-0.08299999996974684,0.0,0.0,1e-12,-4.99999999999593,2.40000000000001,-4.8917216013427e-12,0.0002683050789985353,0.0004913353895609712,0.002245,0.22,-1.0,-0.8,-3.0,6.8292712533108775,25,1.056000000000001,1.0,0.0,10.0,11.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3094.045834004646,3040.363611013163,1.0,0.111,0.9998636236615662,0.9995909267776794,3.7769403556112873,3.7769403556112873,1628.6197990883513,1500.5095054396277,109.62016831166542,0.0,18.490125337058256,2.4733099069345518e-14,0
7.2940000000000005,-4.955545806211919,2.3961415950692952,-0.13059288215646347,0.0,0.0,1e-12,-4.96347999999593,2.399999999999828,-0.16600000000489173,0.00030912998655826,0.0007785015457434412,0.004829,0.22,-0.6206436415270551,-0.8,-3.0,6.810793276965795,25,1.055999999999998,1.0,0.0,13.0,15.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,654.7399979899637,640.6966159993317,1.0,0.166,0.9998569711437538,0.9995709748000966,3.8283433114869965,3.8283433114869965,1629.8359184930403,1501.7286359240088,109.61684106618448,0.0,18.490441502846952,3.2100597674774443e-14,0
7.394,-4.933836015304688,2.392601872584362,-0.19265724629187012,0.0,0.0,1e-12,-4.96347999999593,2.399999999999828,-0.16600000000489173,0.00030912998655826,0.0007785015457434412,0.004829,0.22,-0.6206436415270551,-0.8,-3.0,6.794759389237452,25,1.055999999999998,1.0,0.0,13.0,15.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,654.7399979899637,640.6966159993317,1.0,0.166,0.9998569711437538,0.9995709748000966,3.8283433114869965,3.8283433114869965,1629.8359184930403,1501.7286359240088,109.61684106618448,0.0,18.490441502846952,3.2100597674774443e-14,0
7.471,-4.916606470349287,2.389010672711883,-0.21032892441711748,0.0,0.0,1e-12,-4.96347999999593,2.399999999999828,-0.16600000000489173,0.00030912998655826,0.0007785015457434412,0.004829,0.22,-0.08764675474402327,-0.8,-3.0,6.781436784511392,25,1.055999999999998,1.0,0.0,13.0,15.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,654.7399979899637,640.6966159993317,1.0,0.166,0.9998569711437538,0.9995709748000966,3.8283433114869965,3.8283433114869965,1629.8359184930403,1501.7286359240088,109.61684106618448,0.0,18.490441502846952,3.2100597674774443e-14,0
7.573,-4.895102015488983,2.3843676040010275,-0.21243678908006178,0.0,0.0,1e-12,-4.96347999999593,2.399999999999828,-0.16600000000489173,0.00030912998655826,0.0007785015457434412,0.004829,0.22,0.01972116174382957,-0.8,-3.0,6.764708050779258,25,1.055999999999998,1.0,0.0,13.0,15.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,654.7399979899637,640.6966159993317,1.0,0.166,0.9998569711437538,0.9995709748000966,3.8283433114869965,3.8283433114869965,1629.8359184930403,1501.7286359240088,109.61684106618448,0.0,18.490441502846952,3.2100597674774443e-14,0
