wp_idx,x,y
0,3.272556,-1.260365
1,3.239871,-1.395114
2,3.188350,-1.535988
3,3.127444,-1.673067
4,3.062594,-1.808324
5,2.998450,-1.943917
6,2.939137,-2.081692
7,2.854682,-2.205657
8,2.748064,-2.311168
9,2.622940,-2.393896
10,2.483541,-2.449287
11,2.335640,-2.474289
12,2.185676,-2.471007
13,2.038059,-2.464477
14,1.888517,-2.452764
15,1.739899,-2.432447
16,1.593487,-2.399834
17,1.451594,-2.351189
18,1.326925,-2.287513
19,1.159514,-2.132660
20,1.093605,-2.011927
21,1.019633,-1.791997
22,0.975844,-1.648531
23,0.954318,-1.402244
24,0.965440,-1.252657
25,0.990547,-1.104773
26,1.027076,-0.959289
27,1.081067,-0.819343
28,1.121767,-0.674970
29,1.149013,-0.527465
30,1.164858,-0.378304
31,1.171410,-0.228447
32,1.170625,-0.078450
33,1.164202,0.071413
34,1.153563,0.221035
35,1.140005,0.370421
36,1.124744,0.519319
37,1.102175,0.730926
38,1.087760,0.870124
39,1.075012,0.994186
40,1.052259,1.199720
41,1.029780,1.355558
42,0.993512,1.518563
43,0.944873,1.660174
44,0.929374,1.788428
45,1.033711,1.850741
46,1.163872,1.779748
47,1.239689,1.651876
48,1.195873,1.453663
49,1.058488,1.404131
50,0.919644,1.501370
51,1.027777,1.612352
52,1.036070,1.455804
53,0.901910,1.507147
54,0.896551,1.549365
55,1.000000,1.750000
