wp_idx,x,y
0,3.348336,-0.792721
1,3.321845,-0.645079
2,3.283820,-0.499979
3,3.241135,-0.356180
4,3.197458,-0.212680
5,3.154920,-0.068838
6,3.114706,0.075671
7,3.077662,0.221024
8,3.044471,0.367306
9,3.015480,0.514478
10,2.990670,0.662412
11,2.969843,0.809690
12,2.950810,0.955415
13,2.931860,1.099401
14,2.911499,1.241461
15,2.887525,1.384116
16,2.817293,1.610626
17,2.741770,1.705999
18,2.518076,1.831323
19,2.369986,1.855185
20,2.220513,1.842627
21,2.071540,1.825105
22,1.929313,1.806764
23,1.782293,1.785672
24,1.648342,1.764000
25,1.526330,1.741699
26,1.312932,1.695590
27,1.130269,1.648368
28,0.968500,1.601975
29,0.813322,1.556220
30,0.860054,1.704696
31,0.978636,1.723783
32,1.089288,1.575579
33,0.981934,1.548598
34,1.006072,1.715449
35,1.100231,1.650064
36,0.988817,1.605938
37,0.993955,1.742764
38,1.089749,1.671729
39,0.971831,1.618966
40,1.000000,1.750000
