wp_idx,x,y
0,3.355376,-0.771772
1,3.349162,-0.531853
2,3.305196,-0.295914
3,3.251685,-0.061956
4,3.192699,0.170683
5,3.131203,0.402670
6,3.069629,0.634637
7,3.009768,0.867052
8,2.952858,1.100207
9,2.899650,1.334234
10,2.850460,1.569139
11,2.814388,1.681910
12,2.562720,1.740533
13,2.328481,1.723452
14,2.097091,1.701984
15,1.868199,1.682122
16,1.641466,1.664186
17,1.433103,1.649118
18,1.228211,1.635488
19,1.034186,1.623553
20,0.846400,1.612812
21,0.659949,1.602826
22,0.872888,1.754580
23,0.921308,1.507622
24,0.797413,1.702102
25,1.087157,1.715320
26,0.933789,1.561183
27,0.987758,1.789495
28,1.138466,1.618853
29,0.914088,1.565210
30,1.000000,1.750000
