wp_idx,x,y
0,3.338769,-0.761545
1,3.337944,-0.521547
2,3.326480,-0.281821
3,3.311898,-0.042264
4,3.295123,0.197149
5,3.276605,0.436434
6,3.256733,0.675609
7,3.235841,0.914698
8,3.214233,1.153724
9,3.192176,1.392708
10,3.169908,1.631673
11,2.935779,1.704249
12,2.695796,1.701391
13,2.456053,1.690309
14,2.216367,1.678073
15,1.976992,1.665617
16,1.737655,1.653070
17,1.498859,1.640491
18,1.260117,1.627873
19,1.021407,1.615233
20,0.782707,1.602587
21,0.985218,1.732468
22,0.942699,1.496682
23,0.816368,1.700409
24,1.051511,1.646577
25,0.848279,1.520184
26,0.912914,1.751434
27,1.049184,1.554997
28,1.000000,1.750000
