plan_stamp,point_idx,x,y
29.46,0,-4.999999999995932,2.4000000000000026
29.46,1,-4.9559999999959325,2.399999999999787
29.46,2,-4.912877070570961,2.3912585494445935
29.46,3,-4.8704962340228874,2.3794321090043984
29.46,4,-4.828282644441764,2.367021917439541
29.46,5,-4.786014029096766,2.354800454482243
29.46,6,-4.743668587497629,2.342847899283704
29.46,7,-4.701288664612479,2.331018185159992
29.46,8,-4.6589233687926965,2.319136194160906
29.46,9,-4.616610902035677,2.3070674263308364
29.46,10,-4.574375522641267,2.294731595292344
29.46,11,-4.53222912815023,2.282095083455375
29.46,12,-4.490173753383299,2.269158876390976
29.46,13,-4.448203977386459,2.255947597014056
29.46,14,-4.4063088331159435,2.2425015237377175
29.46,15,-4.3644734125756335,2.2288707648367816
29.46,16,-4.32268054076555,2.215110101122196
29.46,17,-4.280912771285383,2.2012734312680866
29.46,18,-4.239154999068598,2.187406619828859
30.405,0,-4.983719999995932,2.399999999999923
30.405,1,-4.9398404170305925,2.3967469708288456
30.405,2,-4.8973631576513235,2.3852716740733673
30.405,3,-4.855015942685807,2.373325403330399
30.405,4,-4.8126097539045185,2.3615901933601533
30.405,5,-4.770234201147314,2.3497448344157643
30.405,6,-4.727933473244034,2.337634986404635
30.405,7,-4.685700812422166,2.3252898513342926
30.405,8,-4.6435141081314635,2.3127885721561903
30.405,9,-4.601357599610926,2.300185842715396
30.405,10,-4.559226299325659,2.287499096234416
30.405,11,-4.5171216455663235,2.2747241938157483
30.405,12,-4.4750455504244275,2.261855541298482
30.405,13,-4.432996983485271,2.2488972227978716
30.405,14,-4.3909736526267595,2.235857297048234
30.405,15,-4.348978224772974,2.2227277867992767
30.405,16,-4.307027466370595,2.2094562432015925
30.405,17,-4.26514176997563,2.1959807677922143
30.405,18,-4.223280349979327,2.182430066116908
31.245,0,-4.791881640636259,2.359943294784431
31.245,1,-4.75067071405664,2.3445270847946413
31.245,2,-4.708565897339926,2.3317527194776497
31.245,3,-4.6663918614721975,2.3192087687990344
31.245,4,-4.624310704776242,2.306356677485538
31.245,5,-4.582314941591725,2.293228239857627
31.245,6,-4.540371385337127,2.2799339520347552
31.245,7,-4.498458860644688,2.266542153279334
31.245,8,-4.456570808592538,2.2530740021338964
31.245,9,-4.4147099303228,2.2395216270473592
31.245,10,-4.372883021426036,2.2258647719136997
