task,condition,footprint,gate_set,legacy_selected,corrected_selected,selection_changed
route_apron_to_a3_mid,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,above_connector,above_connector,False
route_apron_to_a3_mid,q=commissioned/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
route_apron_to_a3_mid,q=unity/R=commissioned,deployed_burger,deployment,above_connector,above_connector,False
route_apron_to_a3_mid,q=unity/R=commissioned,deployed_burger,full,above_connector,above_connector,False
route_apron_to_a3_mid,q=unity/R=commissioned,spec_0.80x0.55,deployment,above_connector,above_connector,False
route_apron_to_a3_mid,q=unity/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
route_apron_to_a3_mid,q=unity/R=constant_global,deployed_burger,deployment,above_connector,above_connector,False
route_apron_to_a3_mid,q=unity/R=constant_global,deployed_burger,full,above_connector,above_connector,False
route_apron_to_a3_mid,q=unity/R=constant_global,spec_0.80x0.55,deployment,above_connector,above_connector,False
route_apron_to_a3_mid,q=unity/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
route_west_to_a1_upper,q=commissioned/R=commissioned,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
route_west_to_a1_upper,q=commissioned/R=commissioned,deployed_burger,full,below_main_aisle,below_main_aisle,False
route_west_to_a1_upper,q=commissioned/R=commissioned,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
route_west_to_a1_upper,q=commissioned/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
route_west_to_a1_upper,q=commissioned/R=constant_global,deployed_burger,deployment,above_cross_aisle,above_cross_aisle,False
route_west_to_a1_upper,q=commissioned/R=constant_global,deployed_burger,full,above_cross_aisle,above_cross_aisle,False
route_west_to_a1_upper,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
route_west_to_a1_upper,q=commissioned/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
route_west_to_a1_upper,q=unity/R=commissioned,deployed_burger,deployment,above_cross_aisle,above_cross_aisle,False
route_west_to_a1_upper,q=unity/R=commissioned,deployed_burger,full,above_cross_aisle,above_cross_aisle,False
route_west_to_a1_upper,q=unity/R=commissioned,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
route_west_to_a1_upper,q=unity/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
route_west_to_a1_upper,q=unity/R=constant_global,deployed_burger,deployment,above_cross_aisle,above_cross_aisle,False
route_west_to_a1_upper,q=unity/R=constant_global,deployed_burger,full,above_cross_aisle,above_cross_aisle,False
route_west_to_a1_upper,q=unity/R=constant_global,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
route_west_to_a1_upper,q=unity/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
sanity_visible_apron_crossing,q=commissioned/R=commissioned,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=commissioned/R=commissioned,deployed_burger,full,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=commissioned/R=commissioned,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=commissioned/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
sanity_visible_apron_crossing,q=commissioned/R=constant_global,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=commissioned/R=constant_global,deployed_burger,full,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=commissioned/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
sanity_visible_apron_crossing,q=unity/R=commissioned,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=unity/R=commissioned,deployed_burger,full,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=unity/R=commissioned,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=unity/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
sanity_visible_apron_crossing,q=unity/R=constant_global,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=unity/R=constant_global,deployed_burger,full,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=unity/R=constant_global,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
sanity_visible_apron_crossing,q=unity/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
