task,candidate_id,planning_model,path_length_m,integral_position_trace_m3,objective_m,terminal_sigma_xy_m,mean_planning_p_use,min_planning_p_use
mc_blind_L,0,availability_blind_shortest,15.049180327868854,0.03114505616380999,16.60643313605935,0.02502378873332145,0.7713936984961645,0.0012003175881904902
mc_blind_L,0,r_over_p_shortcut,15.049180327868854,0.03114505616380999,16.60643313605935,0.02502378873332145,0.7713936984961645,0.0012003175881904902
mc_blind_L,0,explicit_hit_miss,15.049180327868854,0.037107854325354725,16.90457304413659,0.02502512793809412,0.7713936984961645,0.0012003175881904902
mc_blind_L,1,availability_blind_shortest,15.176801716943288,0.021611989631170735,16.257401198501825,0.0246449569372924,0.94276766852048,0.05308081747315722
mc_blind_L,1,r_over_p_shortcut,15.176801716943288,0.021611989631170735,16.257401198501825,0.0246449569372924,0.94276766852048,0.05308081747315722
mc_blind_L,1,explicit_hit_miss,15.176801716943288,0.02238018398200644,16.29581091604361,0.02464550397345385,0.94276766852048,0.05308081747315722
mc_blind_L,2,availability_blind_shortest,15.237672039012432,0.020964616152387025,16.285902846631785,0.022704834747936345,0.9706296776623438,0.20371235043733293
mc_blind_L,2,r_over_p_shortcut,15.237672039012432,0.020964616152387025,16.285902846631785,0.022704834747936345,0.9706296776623438,0.20371235043733293
mc_blind_L,2,explicit_hit_miss,15.237672039012432,0.021312609393889386,16.303302508706903,0.022705288614851642,0.9706296776623438,0.20371235043733293
mc_blind_L,3,availability_blind_shortest,15.241938736698199,0.020964550179586056,16.2901662456775,0.02270483474187742,0.9706296776623438,0.20371235043733293
mc_blind_L,3,r_over_p_shortcut,15.241938736698199,0.020964550179586056,16.2901662456775,0.02270483474187742,0.9706296776623438,0.20371235043733293
mc_blind_L,3,explicit_hit_miss,15.241938736698199,0.02131254656795612,16.307566065096005,0.022705288608523742,0.9706296776623438,0.20371235043733293
mc_blind_L,4,availability_blind_shortest,15.238323018394137,0.020964058077038928,16.286525922246085,0.0227048347457604,0.9706296776623438,0.20371235043733293
mc_blind_L,4,r_over_p_shortcut,15.238323018394137,0.020964058077038928,16.286525922246085,0.0227048347457604,0.9706296776623438,0.20371235043733293
mc_blind_L,4,explicit_hit_miss,15.238323018394137,0.021312051984147054,16.30392561760149,0.02270528861262315,0.9706296776623438,0.20371235043733293
mc_blind_L,5,availability_blind_shortest,16.701455865313083,0.021779619305972595,17.79043683061171,0.02427788228681938,0.9982690788577806,0.9439761906055713
mc_blind_L,5,r_over_p_shortcut,16.701455865313083,0.021779619305972595,17.79043683061171,0.02427788228681938,0.9982690788577806,0.9439761906055713
mc_blind_L,5,explicit_hit_miss,16.701455865313083,0.02179803865046849,17.791357797836508,0.024278381595544768,0.9982690788577806,0.9439761906055713
mc_blind_L,6,availability_blind_shortest,16.70670474819185,0.021770264447079433,17.79521797054582,0.02427788228682425,0.9982690788577806,0.9439761906055713
mc_blind_L,6,r_over_p_shortcut,16.70670474819185,0.021770264447079433,17.79521797054582,0.02427788228682425,0.9982690788577806,0.9439761906055713
mc_blind_L,6,explicit_hit_miss,16.70670474819185,0.021788676633282298,17.796138579855963,0.024278381595549566,0.9982690788577806,0.9439761906055713
mc_blind_L,7,availability_blind_shortest,16.681840157790973,0.02173160387912463,17.768420351747203,0.024277882286806628,0.9982690788577806,0.9439761906055713
mc_blind_L,7,r_over_p_shortcut,16.681840157790973,0.02173160387912463,17.768420351747203,0.024277882286806628,0.9982690788577806,0.9439761906055713
mc_blind_L,7,explicit_hit_miss,16.681840157790973,0.02175001567057667,17.769340941319808,0.02427838159553169,0.9982690788577806,0.9439761906055713
mc_m2_w2e_traverse,0,availability_blind_shortest,22.203640305892037,0.06677061279964722,25.542170945874396,0.10008846850562907,0.6908069614452799,0.0001
mc_m2_w2e_traverse,0,r_over_p_shortcut,22.203640305892037,0.06677061279964722,25.542170945874396,0.10008846850562907,0.6908069614452799,0.0001
mc_m2_w2e_traverse,0,explicit_hit_miss,22.203640305892037,0.07007388080422856,25.707334346103465,0.10142330078204413,0.6908069614452799,0.0001
mc_m2_w2e_traverse,1,availability_blind_shortest,22.238851849881062,0.06669461745270036,25.57358272251608,0.10045972311801238,0.690812037739633,0.0001
mc_m2_w2e_traverse,1,r_over_p_shortcut,22.238851849881062,0.06669461745270036,25.57358272251608,0.10045972311801238,0.690812037739633,0.0001
mc_m2_w2e_traverse,1,explicit_hit_miss,22.238851849881062,0.06999004274594006,25.738353987178066,0.10178688046100055,0.690812037739633,0.0001
mc_m2_w2e_traverse,2,availability_blind_shortest,22.238851849881062,0.06667721039583366,25.572712369672743,0.10045972311801234,0.690812037739633,0.0001
mc_m2_w2e_traverse,2,r_over_p_shortcut,22.238851849881062,0.06667721039583366,25.572712369672743,0.10045972311801234,0.690812037739633,0.0001
mc_m2_w2e_traverse,2,explicit_hit_miss,22.238851849881062,0.06997230634851465,25.737467167306793,0.10178688046100051,0.690812037739633,0.0001
mc_m2_w2e_traverse,3,availability_blind_shortest,22.407652079907205,0.06588377898755692,25.70184102928505,0.10073002569168799,0.6990469889046809,0.0001
mc_m2_w2e_traverse,3,r_over_p_shortcut,22.407652079907205,0.06588377898755692,25.70184102928505,0.10073002569168799,0.6990469889046809,0.0001
mc_m2_w2e_traverse,3,explicit_hit_miss,22.407652079907205,0.06844747249778488,25.830025704796448,0.1020597775454851,0.6990469889046809,0.0001
mc_m2_w2e_traverse,4,availability_blind_shortest,34.08934229513116,0.044760004686969605,36.327342529479644,0.033586519100024644,0.9775603685759341,0.0001
mc_m2_w2e_traverse,4,r_over_p_shortcut,34.08934229513116,0.044760004686969605,36.327342529479644,0.033586519100024644,0.9775603685759341,0.0001
mc_m2_w2e_traverse,4,explicit_hit_miss,34.08934229513116,0.044911206470643686,36.33490261866334,0.03384038880959694,0.9775603685759341,0.0001
mc_m2_w2e_traverse,5,availability_blind_shortest,34.16969355411144,0.04482254924535125,36.410821016379,0.032665719706203605,0.9739681716041866,0.0001
mc_m2_w2e_traverse,5,r_over_p_shortcut,34.16969355411144,0.04482254924535125,36.410821016379,0.032665719706203605,0.9739681716041866,0.0001
mc_m2_w2e_traverse,5,explicit_hit_miss,34.16969355411144,0.04498317504941882,36.41885230658238,0.03325773082149348,0.9739681716041866,0.0001
mc_m2_w2e_traverse,6,availability_blind_shortest,34.12762010215641,0.04475340955202439,36.365290579757634,0.032665719706203605,0.9739681716041866,0.0001
mc_m2_w2e_traverse,6,r_over_p_shortcut,34.12762010215641,0.04475340955202439,36.365290579757634,0.032665719706203605,0.9739681716041866,0.0001
mc_m2_w2e_traverse,6,explicit_hit_miss,34.12762010215641,0.044914025569003695,36.3733213806066,0.03325773082149348,0.9739681716041866,0.0001
full_traverse_handover,0,availability_blind_shortest,16.33359652518078,0.02088618665747869,17.377905858054714,0.023807207254375545,0.9975443358938356,0.9627043383061865
full_traverse_handover,0,r_over_p_shortcut,16.33359652518078,0.02088618665747869,17.377905858054714,0.023807207254375545,0.9975443358938356,0.9627043383061865
full_traverse_handover,0,explicit_hit_miss,16.33359652518078,0.02091111364922384,17.379152207641972,0.023807736464883322,0.9975443358938356,0.9627043383061865
full_traverse_handover,1,availability_blind_shortest,16.396093669400848,0.02081647173253461,17.436917256027577,0.023872284750823373,0.9998925043800628,0.9993828022243384
full_traverse_handover,1,r_over_p_shortcut,16.396093669400848,0.02081647173253461,17.436917256027577,0.023872284750823373,0.9998925043800628,0.9993828022243384
full_traverse_handover,1,explicit_hit_miss,16.396093669400848,0.02081759234796076,17.436973286798885,0.023872835617538057,0.9998925043800628,0.9993828022243384
full_traverse_handover,2,availability_blind_shortest,16.364649755313724,0.020767484982887243,17.403024004458086,0.02355797829980639,0.9998925043800628,0.9993828022243384
full_traverse_handover,2,r_over_p_shortcut,16.364649755313724,0.020767484982887243,17.403024004458086,0.02355797829980639,0.9998925043800628,0.9993828022243384
full_traverse_handover,2,explicit_hit_miss,16.364649755313724,0.020768604749081807,17.403079992767815,0.023558485247253784,0.9998925043800628,0.9993828022243384
full_traverse_handover,3,availability_blind_shortest,16.387466078673555,0.02077813991442817,17.426373074394963,0.023508281957238177,0.9998925043800628,0.9993828022243384
full_traverse_handover,3,r_over_p_shortcut,16.387466078673555,0.02077813991442817,17.426373074394963,0.023508281957238177,0.9998925043800628,0.9993828022243384
full_traverse_handover,3,explicit_hit_miss,16.387466078673555,0.020779256273941813,17.426428892370645,0.023508789154761386,0.9998925043800628,0.9993828022243384
full_traverse_handover,4,availability_blind_shortest,16.404509024540463,0.02081900587515054,17.44545931829799,0.023557978312964533,0.9998925043800628,0.9993828022243384
full_traverse_handover,4,r_over_p_shortcut,16.404509024540463,0.02081900587515054,17.44545931829799,0.023557978312964533,0.9998925043800628,0.9993828022243384
full_traverse_handover,4,explicit_hit_miss,16.404509024540463,0.020820135903784263,17.445515819729675,0.023558485260418628,0.9998925043800628,0.9993828022243384
full_traverse_handover,5,availability_blind_shortest,16.412924742614504,0.020826952710075227,17.454272378118265,0.023881071323098125,0.9998925043800628,0.9993828022243384
full_traverse_handover,5,r_over_p_shortcut,16.412924742614504,0.020826952710075227,17.454272378118265,0.023881071323098125,0.9998925043800628,0.9993828022243384
full_traverse_handover,5,explicit_hit_miss,16.412924742614504,0.020828073059196137,17.45432839557431,0.02388162417885876,0.9998925043800628,0.9993828022243384
full_traverse_handover,6,availability_blind_shortest,16.38276022476808,0.02080305937865528,17.422913193700843,0.023810226855841773,0.9998925043800628,0.9993828022243384
full_traverse_handover,6,r_over_p_shortcut,16.38276022476808,0.02080305937865528,17.422913193700843,0.023810226855841773,0.9998925043800628,0.9993828022243384
full_traverse_handover,6,explicit_hit_miss,16.38276022476808,0.02080418938077307,17.422969693806735,0.02381076175850177,0.9998925043800628,0.9993828022243384
full_traverse_handover,7,availability_blind_shortest,16.41119098325829,0.02082527078634812,17.452454522575696,0.023881071425046595,0.9998925043800628,0.9993828022243384
full_traverse_handover,7,r_over_p_shortcut,16.41119098325829,0.02082527078634812,17.452454522575696,0.023881071425046595,0.9998925043800628,0.9993828022243384
full_traverse_handover,7,explicit_hit_miss,16.41119098325829,0.020826391175617978,17.45251054203919,0.023881624280830252,0.9998925043800628,0.9993828022243384
route_tall_shadow_west,0,availability_blind_shortest,14.30807065086262,0.027411873609409495,15.678664331333094,0.02531915340660341,0.8629331651463318,0.0001
route_tall_shadow_west,0,r_over_p_shortcut,14.30807065086262,0.027411873609409495,15.678664331333094,0.02531915340660341,0.8629331651463318,0.0001
route_tall_shadow_west,0,explicit_hit_miss,14.30807065086262,0.030537923365729,15.83496681914907,0.025319879809229593,0.8629331651463318,0.0001
route_tall_shadow_west,1,availability_blind_shortest,14.440861331425282,0.019037505486575998,15.39273660575408,0.024280976879292586,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,1,r_over_p_shortcut,14.440861331425282,0.019037505486575998,15.39273660575408,0.024280976879292586,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,1,explicit_hit_miss,14.440861331425282,0.019038572274698518,15.392789945160208,0.024281472991563604,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,2,availability_blind_shortest,14.467858742292332,0.019082466215812995,15.421982053082981,0.024280976877562387,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,2,r_over_p_shortcut,14.467858742292332,0.019082466215812995,15.421982053082981,0.024280976877562387,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,2,explicit_hit_miss,14.467858742292332,0.019083536147237495,15.422035549654208,0.024281472989832673,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,3,availability_blind_shortest,14.408184369502832,0.018983547166407808,15.357361727823223,0.02428097688569892,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,3,r_over_p_shortcut,14.408184369502832,0.018983547166407808,15.357361727823223,0.02428097688569892,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,3,explicit_hit_miss,14.408184369502832,0.01898460913744775,15.35741482637522,0.024281472997972682,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,4,availability_blind_shortest,14.448152416047954,0.019041735946959282,15.400239213395917,0.024280976851118175,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,4,r_over_p_shortcut,14.448152416047954,0.019041735946959282,15.400239213395917,0.024280976851118175,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,4,explicit_hit_miss,14.448152416047954,0.01904280269795942,15.400292550945924,0.024281472963379024,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,5,availability_blind_shortest,14.429633228572792,0.01901872977014753,15.380569717080169,0.024280976879033158,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,5,r_over_p_shortcut,14.429633228572792,0.01901872977014753,15.380569717080169,0.024280976879033158,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,5,explicit_hit_miss,14.429633228572792,0.01901979536422468,15.380622996784027,0.02428147299130409,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,6,availability_blind_shortest,14.44820691512526,0.019047843690014714,15.400599099625996,0.024280976850209943,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,6,r_over_p_shortcut,14.44820691512526,0.019047843690014714,15.400599099625996,0.024280976850209943,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,6,explicit_hit_miss,14.44820691512526,0.01904891137596479,15.4006524839235,0.024281472962470376,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,7,availability_blind_shortest,14.463136345564312,0.01905741913950408,15.416007302539516,0.0242809768813827,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,7,r_over_p_shortcut,14.463136345564312,0.01905741913950408,15.416007302539516,0.0242809768813827,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,7,explicit_hit_miss,14.463136345564312,0.019058486034327596,15.416060647280691,0.02428147299365468,0.9998875787020011,0.9992376809471557
route_tall_shadow_west,8,availability_blind_shortest,14.440118368136286,0.019016597201685623,15.390948228220568,0.024280976881813958,0.9998875787020011,0.9992376809471557
