condition,method,candidate_id,reliability_lambda,controller_waypoint_count,path_length_m,integral_position_trace_m3,objective_m,terminal_sigma_xy_m,mean_planning_p_use,min_planning_p_use,complete,start_error_m,goal_error_m,minimum_driveable_clearance_m,required_driveable_clearance_m,validation_step_m
C1,availability_blind_shortest,0,0.0,3,14.239233369758686,0.0471667487368259,16.597570806599983,0.02433439230936838,0.6620823098819199,0.001248148292109036,True,0.0,0.0,0.262737465773283,0.25,0.04
C2,r_over_p_shortcut,1,0.25,2,14.496110119828097,0.01910302621137621,15.451261430396908,0.02466748374591017,0.9998018788162721,0.9940493942814674,True,0.0,0.0,0.2779347612377172,0.25,0.04
C3,explicit_hit_miss,1,0.25,2,14.496110119828097,0.019104902348725927,15.451355237264394,0.024668123803871615,0.9998018788162721,0.9940493942814674,True,0.0,0.0,0.2779347612377172,0.25,0.04
