condition,point_index,x,y
C1,0,-7.78,-7.5
C1,1,-7.77520498088623,-7.260047905215023
C1,2,-7.77040996177246,-7.020095810430046
C1,3,-7.765614942658689,-6.780143715645069
C1,4,-7.7608199235449185,-6.540191620860092
C1,5,-7.756024904431148,-6.300239526075115
C1,6,-7.751229885317378,-6.0602874312901385
C1,7,-7.746434866203607,-5.820335336505161
C1,8,-7.741639847089837,-5.580383241720184
C1,9,-7.736844827976066,-5.340431146935207
C1,10,-7.732049808862296,-5.10047905215023
C1,11,-7.7272547897485255,-4.860526957365253
C1,12,-7.722459770634755,-4.620574862580276
C1,13,-7.717664751520985,-4.380622767795298
C1,14,-7.712869732407214,-4.140670673010321
C1,15,-7.708074713293444,-3.900718578225345
C1,16,-7.703279694179673,-3.660766483440368
C1,17,-7.698484675065903,-3.4208143886553906
C1,18,-7.693689655952133,-3.1808622938704136
C1,19,-7.688894636838362,-2.9409101990854367
C1,20,-7.684099617724591,-2.70095810430046
C1,21,-7.6793045986108215,-2.461006009515483
C1,22,-7.674509579497051,-2.221053914730506
C1,23,-7.66971456038328,-1.981101819945529
C1,24,-7.66491954126951,-1.741149725160552
C1,25,-7.66012452215574,-1.5011976303755743
C1,26,-7.655329503041969,-1.2612455355905974
C1,27,-7.650534483928198,-1.0212934408056213
C1,28,-7.645739464814429,-0.7813413460206435
C1,29,-7.640944445700658,-0.5413892512356666
C1,30,-7.636149426586887,-0.3014371564506897
C1,31,-7.631354407473117,-0.06148506166571277
C1,32,-7.626559388359347,0.17846703311926415
C1,33,-7.621764369245576,0.41841912790424196
C1,34,-7.616969350131805,0.6583712226892189
C1,35,-7.612174331018036,0.8983233174741958
C1,36,-7.607379311904265,1.1382754122591727
C1,37,-7.602584292790494,1.3782275070441479
C1,38,-7.597789273676724,1.6181796018291266
C1,39,-7.592994254562954,1.8581316966141035
C1,40,-7.588199235449183,2.0980837913990804
C1,41,-7.376098237086073,2.1856697790898534
C1,42,-7.148519691974771,2.2618800527084626
C1,43,-6.92094114686347,2.3380903263270714
C1,44,-6.6933626017521695,2.4143005999456797
C1,45,-6.465784056640867,2.4905108735642885
C1,46,-6.238205511529565,2.5667211471828972
C1,47,-6.010626966418263,2.6429314208015064
C1,48,-5.823194071766365,2.749650341988746
C1,49,-5.810715624295214,2.989325723179034
C1,50,-5.798237176824062,3.229001104369322
C1,51,-5.785758729352911,3.4686764855596097
C1,52,-5.7732802818817595,3.7083518667498976
C1,53,-5.760801834410608,3.9480272479401837
C1,54,-5.748323386939456,4.187702629130472
C1,55,-5.735844939468304,4.427378010320759
C1,56,-5.723366491997153,4.667053391511047
C1,57,-5.710888044526001,4.906728772701335
C1,58,-5.69840959705485,5.146404153891623
C1,59,-5.685931149583698,5.386079535081911
C1,60,-5.68,5.5
C2,0,-7.78,-7.5
C2,1,-7.5465766953001046,-7.444200709476017
C2,2,-7.31315339060021,-7.388401418952034
C2,3,-7.079730085900314,-7.332602128428051
C2,4,-6.846306781200419,-7.276802837904068
C2,5,-6.6128834765005235,-7.221003547380085
C2,6,-6.379460171800629,-7.165204256856103
C2,7,-6.146036867100733,-7.10940496633212
C2,8,-5.912613562400838,-7.053605675808137
C2,9,-5.823776131539917,-6.8823413504943165
C2,10,-5.820989587001462,-6.642357527769669
C2,11,-5.818203042463006,-6.402373705045021
C2,12,-5.81541649792455,-6.162389882320373
C2,13,-5.812629953386095,-5.922406059595725
C2,14,-5.809843408847639,-5.682422236871078
C2,15,-5.807056864309184,-5.44243841414643
C2,16,-5.804270319770729,-5.202454591421782
C2,17,-5.801483775232273,-4.962470768697134
C2,18,-5.798697230693818,-4.722486945972486
C2,19,-5.795910686155362,-4.482503123247839
C2,20,-5.793124141616907,-4.242519300523191
C2,21,-5.790337597078452,-4.002535477798543
C2,22,-5.787551052539996,-3.7625516550738958
C2,23,-5.78476450800154,-3.5225678323492478
C2,24,-5.781977963463085,-3.2825840096245997
C2,25,-5.779191418924629,-3.0426001868999517
C2,26,-5.7764048743861744,-2.8026163641753037
C2,27,-5.773618329847719,-2.5626325414506557
C2,28,-5.770831785309263,-2.3226487187260076
C2,29,-5.768045240770808,-2.0826648960013596
C2,30,-5.765258696232352,-1.8426810732767134
C2,31,-5.762472151693896,-1.6026972505520654
C2,32,-5.759685607155442,-1.3627134278274173
C2,33,-5.756899062616986,-1.1227296051027693
C2,34,-5.75411251807853,-0.8827457823781213
C2,35,-5.751325973540075,-0.6427619596534733
C2,36,-5.748539429001619,-0.40277813692882525
C2,37,-5.7457528844631645,-0.162794314204179
C2,38,-5.742966339924709,0.07718950852046902
C2,39,-5.740179795386253,0.31717333124511704
C2,40,-5.737393250847798,0.5571571539697651
C2,41,-5.734606706309342,0.7971409766944131
C2,42,-5.731820161770886,1.037124799419061
C2,43,-5.729033617232432,1.2771086221437091
C2,44,-5.726247072693976,1.5170924448683554
C2,45,-5.72346052815552,1.7570762675930034
C2,46,-5.720673983617065,1.9970600903176514
C2,47,-5.717887439078609,2.2370439130422994
C2,48,-5.715100894540154,2.4770277357669475
C2,49,-5.712314350001699,2.7170115584915955
C2,50,-5.709527805463243,2.9569953812162435
C2,51,-5.706741260924788,3.1969792039408915
C2,52,-5.703954716386332,3.4369630266655395
C2,53,-5.701168171847876,3.676946849390186
C2,54,-5.698381627309422,3.916930672114834
C2,55,-5.695595082770966,4.156914494839482
C2,56,-5.69280853823251,4.39689831756413
C2,57,-5.690021993694055,4.636882140288778
C2,58,-5.687235449155599,4.876865963013428
C2,59,-5.684448904617144,5.116849785738076
C2,60,-5.681662360078689,5.356833608462722
C2,61,-5.68,5.5
C3,0,-7.78,-7.5
C3,1,-7.5465766953001046,-7.444200709476017
C3,2,-7.31315339060021,-7.388401418952034
C3,3,-7.079730085900314,-7.332602128428051
C3,4,-6.846306781200419,-7.276802837904068
C3,5,-6.6128834765005235,-7.221003547380085
C3,6,-6.379460171800629,-7.165204256856103
C3,7,-6.146036867100733,-7.10940496633212
C3,8,-5.912613562400838,-7.053605675808137
C3,9,-5.823776131539917,-6.8823413504943165
C3,10,-5.820989587001462,-6.642357527769669
C3,11,-5.818203042463006,-6.402373705045021
C3,12,-5.81541649792455,-6.162389882320373
C3,13,-5.812629953386095,-5.922406059595725
