group,arm,run,reason,decision_s,csv_s,belief_s,op_gap_m,raw_v,raw_w,out_v,out_w,wp,wp_count,final_heading_error_deg,final_position_error_cm,contact,contact_count,offline_goal_gap_m
network_navigation_pilot,P0,experiment_20260906_201018,stuck,143.00400000000002,143.00400000000002,142.912,17.48175556381866,0.0,0.0,0.0,0.0,16.0,35,0.1949793671211667,7.473906620934557,False,0,17.495734368334034
network_navigation_pilot,P1,experiment_20260906_202110,stuck,148.70100000000002,148.70100000000002,148.6,17.481800578507574,0.0,0.0,0.0,0.0,16.0,35,1.6245336591250346,6.971603403054847,False,0,17.51873396638722
network_navigation_pilot,P2,experiment_20260906_203330,stuck,147.20100000000002,147.20100000000002,147.113,17.483175428074635,0.0,0.0,0.0,0.0,16.0,35,1.0199651301274604,8.947167051836576,False,0,17.504528196585333
network_navigation_tracking_pilot,P0,experiment_20260906_204507,stuck,196.901,196.901,196.807,13.732752952837842,0.0,0.0,0.0,0.0,117.0,171,106.42697533311791,100.21735738499346,False,0,14.109418012568149
network_navigation_tracking_pilot,P1,experiment_20260906_210032,collision,165.184,165.10000000000002,165.001,13.652363612439204,0.196739906682976,-0.22348992116868144,0.18226221441822582,-0.1474161841511119,100.0,171,147.97078031371854,116.75758665209035,True,1,14.596587224096586
network_navigation_tracking_pilot,P2,experiment_20260906_211343,collision,163.414,163.40200000000002,163.303,14.199000007556046,0.21830329489306163,0.015484378985539657,0.205068155201426,0.07055926189103892,97.0,171,88.8161413597251,68.44149606837594,True,1,14.648695828323715
network_navigation_runtime_pilot,P0,experiment_20260906_213015,stuck,240.30100000000002,240.30100000000002,240.2,0.5973245862344442,0.0,0.0,0.0,0.0,167.0,171,1.7859243488484142,3.799471755159272,False,0,0.5668327428034975
network_navigation_runtime_pilot,P1,experiment_20260906_214913,goal_reached,231.30200000000002,231.30200000000002,231.203,0.010523475902606471,0.0,0.0,0.0,0.0,170.0,171,2.253231343666893,3.751952866809906,False,0,0.030580387732502115
network_navigation_runtime_pilot,P2,experiment_20260906_220801,goal_reached,242.70100000000002,242.70100000000002,242.601,0.06667636605601286,0.0,-1.0,0.0,-0.9665310309016691,170.0,171,0.4796975251694866,4.130581591390971,False,0,0.09671473731912386
