condition,time_after_first_command_s,detected,yolo_detected_after_threshold,yolo_score_selected,pixel_pose_available,pixel_pose_age_s,true_x,true_y,state_x,state_y,state_pos_error,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,obs_u,obs_v,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,mask_bottom_u,mask_bottom_v,mask_area_px,yolo_inference_ms,yolo_latency_s
C1,0.03300000000000125,1,1.0,0.733991801738739,1,0.4909999999999996,3.34902636601808,-1.50644647106152,3.361119858878588,-1.637936674005301,0.1320451666656673,3.3516645184465217,-1.5725670582881144,0.0661731962612157,1025.4055584719729,373.6456785951684,1012.6930541992188,354.7456970214844,1037.94482421875,375.13275146484375,1017.3333129882812,384.0,711.1109754778445,50.44610899997792,0.0503487586975097
C1,0.19900000000000162,1,1.0,0.7356935143470764,1,0.5250000000000021,3.343459288018201,-1.4362110644086086,3.3516645184465217,-1.6225670582881144,0.1865365440368194,3.3558219929756463,-1.5982970515023376,0.1625567706557107,1026.967376908153,376.04453266117866,1012.6906127929688,354.72479248046875,1037.949462890625,375.1270446777344,1017.3333129882812,384.0,711.1109754778445,60.56177199999979,0.0604698657989501
C1,0.35400000000000276,1,1.0,0.7339919805526733,1,0.6800000000000033,3.332550596335137,-1.3710995581241776,3.3558219929756463,-1.6482970515023376,0.2781726230899349,3.3558219929756463,-1.5982970515023376,0.2283862055793189,1026.3858740759897,375.1804241960554,1012.6930541992188,354.7456970214844,1037.94482421875,375.13275146484375,1017.3333129882812,384.0,711.1109754778445,54.72537299999658,0.0545873641967773
C1,0.5520000000000032,1,1.0,0.6320747137069702,1,0.5480000000000018,3.306066406249879,-1.282001859174861,3.35416293839609,-1.6390452903372097,0.3602683557303837,3.355057641900499,-1.5533494702561432,0.2757347769326411,1024.9904157751528,371.8627376065788,1011.0197143554688,352.763427734375,1037.1278076171875,371.4917907714844,1024.0,368.0,334.222154404968,61.27368400001387,0.060976505279541
C1,0.7090000000000032,1,1.0,0.6758981347084045,1,0.5070000000000014,3.276982696572763,-1.2033038044105933,3.355057641900499,-1.6033494702561433,0.4075932186012648,3.350285873731772,-1.4608120904271706,0.2677384416717191,1020.6171258454372,363.38061343807607,1009.4403686523438,344.7071228027344,1030.5675048828125,363.5328063964844,1012.0,373.3333435058594,558.2228868277743,50.61325899998792,0.0505554676055908
C1,0.8649999999999984,1,1.0,0.6368740200996399,1,0.6630000000000003,3.2427291979852524,-1.1205307868812802,3.350285873731772,-1.510812090427171,0.4048307478380583,3.350285873731772,-1.4608120904271706,0.356875053822108,1015.5575451574268,359.21632383022506,1003.8133544921876,340.20001220703125,1030.24951171875,358.1874694824219,1017.3333129882812,362.6666564941406,348.4434950090945,61.45558800000117,0.0613026618957519
C1,1.0420000000000016,1,1.0,0.7896999716758728,1,0.5100000000000016,3.20061281941996,-1.0223375655594484,3.322143953503182,-1.4646968394892586,0.458749979600286,3.3055964533019253,-1.3334723689591168,0.3283693488582831,1010.4669263497184,351.9807054185857,999.7418823242188,332.8990173339844,1025.0618896484375,352.2206420898437,1011.3333282470704,349.3333435058594,362.6666259765625,62.45686400001205,0.0624010562896728
C1,1.2489999999999988,1,1.0,0.7215043306350708,1,0.5520000000000032,3.158315438210404,-0.9222113635548208,3.3055964533019253,-1.3834723689591168,0.4842038955987147,3.3078835009586887,-1.2424662022562718,0.3534597107252357,1007.1783205291784,344.0204333160468,995.4317626953124,325.38116455078125,1019.3339233398438,345.06329345703125,1004.0,352.0,583.1118299691007,72.57366199999638,0.0724759101867675
C1,1.4200000000000017,1,1.0,0.6963335275650024,1,0.7230000000000025,3.1255656293684164,-0.8344197060694134,3.3078835009586887,-1.2924662022562718,0.4929973620317504,3.3078835009586887,-1.2424662022562718,0.4469247692303245,999.118860441024,334.59215076734046,984.3775634765624,315.3902893066406,1012.6339111328124,334.79248046875,996.0,341.3333435058594,750.2215440534055,50.89582099998324,0.0507988929748535
C1,1.591000000000001,1,1.0,0.6578587293624878,1,0.4980000000000011,3.0985387240132223,-0.7518319850934174,3.2726993928047734,-1.1823775455478758,0.4644366675672411,3.2068628789281783,-1.0652167083493689,0.3315782069259808,989.4567168794808,328.945470393087,977.7594604492188,308.1065979003906,1002.0277099609376,328.4256286621094,992.0,325.3333435058594,359.1109754778445,63.90653799999768,0.0638575553894043
C1,1.7630000000000017,1,1.0,0.6824617385864258,1,0.6700000000000017,3.0689768410244147,-0.656115087703401,3.2068628789281783,-1.1152167083493687,0.4793608844373435,3.2068628789281783,-1.0652167083493689,0.4317136730101971,982.897780090301,320.7275725041352,972.6376953125,301.4978942871094,994.1110229492188,319.3385925292969,980.0,317.3333435058594,199.11081271711737,60.47306799999319,0.060415506362915
C1,1.9460000000000015,1,1.0,0.6236883997917175,1,0.5229999999999997,3.038216956615617,-0.5611853960436568,3.178947787269332,-1.0157825254911592,0.4758820408445708,3.166825624773264,-0.857161063404577,0.3227100636717513,977.843337400406,311.93899709129056,965.1165771484376,290.3672790527344,989.8671875,312.413330078125,973.3333129882812,320.0,686.2230902779847,59.00644900000884,0.0589537620544433
C1,2.116000000000003,1,1.0,0.599481463432312,1,0.4950000000000045,3.0091451116532446,-0.4773748427498954,3.166825624773264,-0.907161063404577,0.457798361380234,3.113422534689058,-0.739727870487466,0.2823170064272793,968.2535194478426,302.6518110120832,958.8651123046876,285.1746520996094,981.5304565429688,303.9595642089844,965.3333435058594,309.3333435058594,689.7773166233674,51.121034000004784,0.0509939193725585
C1,2.286999999999999,1,1.0,0.847601592540741,1,0.5010000000000012,2.975706610772796,-0.3828429734873979,3.113422534689058,-0.7897278704874661,0.4295590705675596,3.114653528209227,-0.6998667927249501,0.3461363139415605,967.0821310777372,299.5487001361074,955.5439453125,276.4805908203125,976.4466552734376,299.59930419921875,958.6666870117188,298.6666564941406,291.55487738735974,81.49647499999446,0.0814142227172851
C1,2.471,1,1.0,0.7243130207061768,1,0.6849999999999987,2.949962157513648,-0.2948107073470012,3.114653528209227,-0.7498667927249502,0.4839414101118975,3.114653528209227,-0.6998667927249501,0.4372569952365506,963.5342882643986,295.2708761259614,954.6740112304688,272.7655334472656,972.9608154296876,293.62762451171875,958.6666870117188,298.6666564941406,351.9994303388521,75.2915600000108,0.0750088691711425
C1,2.6750000000000007,0,0.0,0.0004334040277171,1,0.7240000000000002,2.928137341950821,-0.1919199727185807,3.09785787060215,-0.6943931499258729,0.5303624719552443,3.09785787060215,-0.6443931499258728,0.4832566956988263,1134.2008102285824,81.94453934371333,1129.415283203125,69.64617919921875,1141.5516357421875,82.53019714355469,1132.0,85.33333587646484,248.88743760809305,47.24169599998618,0.0471880435943603
C1,2.8419999999999987,0,0.0,0.0004384388739708,1,0.8910000000000018,2.913214251082331,-0.097421743267162,3.09785787060215,-0.6943931499258729,0.6248744886754936,3.09785787060215,-0.6443931499258728,0.577296272230809,1135.0120314638666,83.1162445080938,1129.416748046875,69.64864349365234,1141.552490234375,82.5299072265625,1132.0,85.33333587646484,248.88743760809305,62.29445200000328,0.0622477531433105
C1,3.024000000000001,0,0.0,0.0004335984122008,1,1.0730000000000004,2.901045602430869,-0.0028760449655531,3.09785787060215,-0.6943931499258729,0.7189791202499735,3.09785787060215,-0.6443931499258728,0.6710285127022501,1134.835671344665,81.91511608693284,1129.4442138671875,69.64558410644531,1141.55419921875,82.52853393554688,1132.0,85.33333587646484,248.88743760809305,67.20013300000005,0.0671148300170898
C1,3.1990000000000016,0,0.0,0.0004332943062763,1,1.248000000000001,2.8918111609923525,0.0822618232010221,3.09785787060215,-0.6943931499258729,0.8035223667227703,3.09785787060215,-0.6443931499258728,0.7553030494517234,1133.8834370288962,83.25964572970145,1129.4251708984375,69.6480941772461,1141.552001953125,82.5302963256836,1132.0,85.33333587646484,248.88743760809305,55.65025999999307,0.0555946826934814
C1,3.3900000000000006,0,0.0,0.0004325430199969,1,1.439,2.881129162098233,0.1887607742913342,3.09785787060215,-0.6943931499258729,0.9093581180976108,3.09785787060215,-0.6443931499258728,0.8608814056118922,1136.2938102569526,82.05414083072384,1129.423095703125,69.6473388671875,1141.55224609375,82.530517578125,1132.0,85.33333587646484,248.88743760809305,52.14382799999839,0.0520050525665283
C1,3.5400000000000027,0,0.0,0.0004337689606472,1,1.5890000000000022,2.873472535983096,0.2742169045698528,3.09785787060215,-0.6943931499258729,0.994260637892458,3.09785787060215,-0.6443931499258728,0.9456178988432616,1135.649668070541,81.23803930204535,1129.4208984375,69.64754486083984,1141.5517578125,82.53068542480469,1132.0,85.33333587646484,248.88743760809305,103.09359899997617,0.1029655933380127
C1,3.6750000000000007,0,0.0,0.0004421986232046,1,1.7240000000000002,2.8687001330150936,0.3374034507654035,3.09785787060215,-0.6943931499258729,1.056937790929103,3.09785787060215,-0.6443931499258728,1.0081854163917288,1135.0094490522904,83.90463857479283,1129.4111328125,69.64857482910156,1141.5513916015625,82.52668762207031,1132.0,85.33333587646484,248.88743760809305,69.5013529999926,0.0694382190704345
C1,3.811,0,0.0,0.0004334413679316,1,1.8599999999999997,2.8644105057788662,0.4108540013334838,3.09785787060215,-0.6943931499258729,1.129632213381797,3.09785787060215,-0.6443931499258728,1.0807609459931102,1135.6342658903172,84.83947725632714,1129.44287109375,69.64544677734375,1141.55419921875,82.52911376953125,1132.0,85.33333587646484,248.88743760809305,67.70721200001617,0.0676290988922119
