wp_idx,x,y
0,3.338714,-0.818768
1,3.349344,-0.669146
2,3.334158,-0.519916
3,3.311337,-0.371663
4,3.283633,-0.224243
5,3.252088,-0.077598
6,3.217504,0.068361
7,3.181076,0.213871
8,3.143494,0.359086
9,3.105337,0.504152
10,3.067098,0.649196
11,3.029197,0.794329
12,2.991980,0.939638
13,2.955725,1.085191
14,2.920642,1.231031
15,2.886880,1.377182
16,2.854520,1.523649
17,2.684115,1.652385
18,2.539590,1.682117
19,2.398136,1.677499
20,2.259979,1.669592
21,2.124473,1.662461
22,1.991442,1.656263
23,1.860714,1.650868
24,1.732090,1.646143
25,1.605346,1.641968
26,1.480262,1.638238
27,1.356796,1.634862
28,1.234182,1.631738
29,1.112551,1.628925
30,0.991564,1.626470
31,0.870863,1.624419
32,0.750060,1.622822
33,0.873733,1.733850
34,1.030725,1.581452
35,0.900055,1.578557
36,0.983749,1.709379
37,1.056223,1.562923
38,0.923648,1.608593
39,1.051518,1.684927
40,1.026949,1.539762
41,1.023617,1.539681
42,1.000000,1.750000
