epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,291.045,2.08612,3.18705,6.85531,0.93407,0,0.0012,0.4375,0.00276,0.00123,0.0012,0.4375,0.00301,0.00136,1.47513,2.89705,5.72946,0.88916,0,0.00038,0.00038,0.00038
2,632.684,1.84577,2.39759,5.51227,0.85098,0,0.00171,0.625,0.0034,0.00096,0.00231,0.84375,0.00546,0.0021,1.317,2.58811,5.59189,0.86602,0,0.000683475,0.000683475,0.000683475
3,979.332,1.50787,2.13762,4.59947,0.83823,0,0.00239,0.875,0.00341,0.00116,0.00265,0.96875,0.0429,0.01055,1.32585,1.68944,5.35252,0.8719,0,0.00088795,0.00088795,0.00088795
4,1265.18,1.41784,2.28631,3.80317,0.83739,0,0.00239,0.875,0.00324,0.0011,0.00274,1,0.176,0.09912,1.32075,1.6406,5.15932,0.86517,0,0.000993425,0.000993425,0.000993425
5,1398.9,1.50531,2.01134,3.36338,0.84265,0,0.00256,0.9375,0.10251,0.0649,0.00274,1,0.12811,0.07877,1.25832,1.582,4.65717,0.86955,0,0.0009999,0.0009999,0.0009999
6,1490.48,1.30195,1.60216,2.90004,0.82041,0,0.00274,1,0.69887,0.4368,0.00274,1,0.67049,0.38371,1.03968,1.71573,4.13927,0.8456,0,0.0007625,0.0007625,0.0007625
7,1611.96,1.31797,1.90923,3.16846,0.79317,0,1,0.59577,0.995,0.6397,0.84261,0.50202,0.7954,0.31871,1.02342,1.8742,3.45046,0.85384,0,0.000515,0.000515,0.000515
8,1760.76,1.16835,1.84556,2.73583,0.81003,0,0.96711,1,0.99409,0.67517,0.87645,0.90625,0.83556,0.3041,0.9721,1.63179,2.93398,0.85175,0,0.0002675,0.0002675,0.0002675
