wp_idx,x,y
0,-5.166658,-0.616231
1,-5.119598,-0.475258
2,-5.108841,-0.327094
3,-5.112443,-0.178588
4,-5.116566,-0.030096
5,-5.120784,0.118392
6,-5.125086,0.266878
7,-5.129468,0.415361
8,-5.133932,0.563842
9,-5.138475,0.712320
10,-5.143097,0.860795
11,-5.147798,1.009268
12,-5.152577,1.157738
13,-5.157432,1.306206
14,-5.162363,1.454672
15,-5.167370,1.603135
16,-5.172450,1.751596
17,-5.177604,1.900056
18,-5.182830,2.048513
19,-5.188126,2.196968
20,-5.193493,2.345421
21,-5.198928,2.493872
22,-5.204431,2.642322
23,-5.210000,2.790770
24,-5.215633,2.939216
25,-5.221330,3.087661
26,-5.227087,3.236105
27,-5.232905,3.384547
28,-5.238780,3.532988
29,-5.244711,3.681428
30,-5.250695,3.829868
31,-5.256732,3.978306
32,-5.262818,4.126745
33,-5.268950,4.275182
34,-5.275127,4.423620
35,-5.153345,4.509981
36,-5.013937,4.563517
37,-4.865315,4.581082
38,-4.715419,4.581267
39,-4.565525,4.580154
40,-4.415635,4.579053
41,-4.265750,4.578074
42,-4.115870,4.577210
43,-3.965994,4.576434
44,-3.816118,4.575714
45,-3.666232,4.575000
46,-3.516316,4.574224
47,-3.366345,4.573353
48,-3.216378,4.572433
49,-3.066413,4.571485
50,-2.985749,4.444674
51,-2.939339,4.302144
52,-2.929620,4.152499
53,-2.942800,4.003085
54,-2.961148,3.854221
55,-2.981023,3.705553
56,-3.001546,3.556974
57,-3.022515,3.408457
58,-3.094033,3.540214
59,-2.944269,3.550365
60,-2.997322,3.410006
61,-3.102658,3.516734
62,-2.961723,3.568138
63,-3.000000,3.500000
