diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,seed
6.586,6.646000000000001,1,1,-4.999999999995931,2.4,-4.89172152606124e-12,1,-4.99999999999593,2.4000000000000123,-4.891721531823339e-12,1.246617817651181e-14,-3.301439509472679e-19,125.98269624522268,319.6989517684045,-4.891721531823339e-12,-3.301439509472679e-19,1,6.634,125.98269624522268,319.6989517684045,-4.891721531823339e-12,0.012000000000000455,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.606,6.651000000000001,1,1,-4.999999999995931,2.4,-4.89172152606124e-12,1,-4.99999999999593,2.4000000000000123,-4.891721531823339e-12,1.246617817651181e-14,-3.301439509472679e-19,125.98269624522268,319.6989517684045,-4.891721526478285e-12,-2.3894885798323356e-20,1,6.646,125.98269624522268,319.6989517684045,-4.891721526478285e-12,0.005000000000000782,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.626,6.656000000000001,1,1,-4.999999999995931,2.4,-4.89172152606124e-12,1,-4.99999999999593,2.4000000000000123,-4.891721526478285e-12,1.246617817651181e-14,-2.3894885798323356e-20,125.98269624522268,319.6989517684045,-4.8917215278681185e-12,-1.0352650097600947e-19,1,6.651,125.98269624522268,319.6989517684045,-4.8917215278681185e-12,0.005000000000000782,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.646,6.659000000000001,1,1,-4.999999999995931,2.4,-4.89172152606124e-12,1,-4.99999999999593,2.4000000000000123,-4.8917215278681185e-12,1.246617817651181e-14,-1.0352650097600947e-19,125.98269624522268,319.6989517684045,-4.89172152606124e-12,0.0,1,6.655,125.98269624522268,319.6989517684045,-4.89172152606124e-12,0.004000000000000448,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.666,6.676,1,1,-4.999999999995931,2.4,-4.891721538246614e-12,1,-4.99999999999593,2.4000000000000123,-4.891721538246614e-12,1.246617817651181e-14,0.0,125.98269624522268,319.6989517684045,-4.891721538246614e-12,0.0,1,6.667,125.98269624522268,319.6989517684045,-4.891721538246614e-12,0.009000000000000341,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.686,6.697,1,1,-4.999999999995931,2.4,-4.891721546735166e-12,1,-4.99999999999593,2.4000000000000123,-4.891721546735166e-12,1.246617817651181e-14,0.0,125.98269624522268,319.6989517684045,-4.891721546735166e-12,0.0,1,6.687,125.98269624522268,319.6989517684045,-4.891721546735166e-12,0.009999999999999787,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.706,6.7170000000000005,1,1,-4.999999999995931,2.4,-4.891721552577559e-12,1,-4.99999999999593,2.4000000000000123,-4.891721552577559e-12,1.246617817651181e-14,0.0,125.98269624522268,319.6989517684045,-4.891721552577559e-12,0.0,1,6.711,125.98269624522268,319.6989517684045,-4.891721552577559e-12,0.006000000000000227,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.726,6.729,1,1,-4.999999999995931,2.4,-4.891721548185712e-12,1,-4.99999999999593,2.4000000000000123,-4.891721548185712e-12,1.246617817651181e-14,0.0,125.98269624522268,319.6989517684045,-4.891721548185712e-12,0.0,1,6.727,125.98269624522268,319.6989517684045,-4.891721548185712e-12,0.0019999999999997797,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.746,6.758,1,1,-4.999999999995931,2.4,-4.891721550599465e-12,1,-4.99999999999593,2.4000000000000123,-4.891721548185712e-12,1.246617817651181e-14,1.3829783730241159e-19,125.98269624522268,319.6989517684045,-4.891721550599465e-12,0.0,1,6.758,125.98269624522268,319.6989517684045,-4.891721550599465e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.766,6.783,1,1,-4.999999999995931,2.4,-4.8917215496955585e-12,1,-4.99999999999593,2.4000000000000123,-4.891721550599465e-12,1.246617817651181e-14,-5.179002529728181e-20,125.98269624522268,319.6989517684045,-4.8917215496955585e-12,0.0,1,6.766,125.98269624522268,319.6989517684045,-4.8917215496955585e-12,0.017000000000000348,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
