stamp,x,y,yaw,cov_x,cov_y,cov_yaw,planner_belief_x,planner_belief_y,planner_belief_yaw,planner_cov_x,planner_cov_y,planner_cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,optimizer_success,optimizer_status,optimizer_nit,optimizer_nfev,optimizer_message,plan_time_ms,solve_time_ms,measurement_available,belief_age_s,p_vis_plan,p_vis_plan_eff,r_plan_u_std,r_plan_v_std,efe_total,efe_risk,efe_ambiguity,efe_control,efe_visibility,efe_obstacle,seed
6.687,-4.99999999999593,2.4000000000000123,-4.891721546735166e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.766,-4.99999999999593,2.4000000000000123,-4.8917215496955585e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.886,-4.99999999999593,2.4000000000000123,-4.891721544404315e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
6.986,-4.99999999999593,2.4000000000000123,-4.8917215619921904e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.087,-4.99999999999593,2.4000000000000123,-4.891721551133949e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.195,-4.99999999999593,2.4000000000000123,-4.891721525650375e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.271,-4.99999999999593,2.4000000000000123,-4.891721513306568e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.397,-4.99999999999593,2.4000000000000123,-4.8917214671577685e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.468,-4.99999999999593,2.4000000000000123,-4.891721412166695e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.587,-4.99999999999593,2.4000000000000123,-4.891721397573283e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.668,-4.99999999999593,2.4000000000000123,-4.891721376131591e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.787,-4.99999999999593,2.4000000000000123,-4.891721361759689e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.894,-4.99999999999593,2.4000000000000123,-4.891721357077217e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
7.987,-4.99999999999593,2.4000000000000123,-4.8917213259336054e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.067,-4.99999999999593,2.4000000000000123,-4.891721304606636e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.166,-4.99999999999593,2.4000000000000123,-4.891721300112135e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.291,-4.99999999999593,2.4000000000000123,-4.891721282573766e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.366,-4.99999999999593,2.4000000000000123,-4.8917212586002295e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.478,-4.99999999999593,2.4000000000000123,-4.8917212206865354e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.587,-4.99999999999593,2.4000000000000123,-4.891721215711735e-12,0.0,0.0,1e-12,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,1.2,5.727128425306565,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0
8.687,-4.985269324460205,2.399546047955622,-0.06161406825455407,0.0,0.0,1e-12,-4.99999999999593,2.400000000000012,-4.891721546735166e-12,0.00021526461949033433,0.00025191897858843377,0.001027,0.22,-0.9196129594153359,0.6,1.2,5.712630230281153,25,1.0560000000000005,1.0,0.0,12.0,13.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3973.7158339994494,3961.429118004162,1.0,0.114,0.9998636389280026,0.999590972564498,3.776821588898105,3.776821588898105,873.8210599501813,746.0868909812855,109.2528293100834,0.0,18.481339658812388,8.934665361366902e-15,0
8.786,-4.963346946139451,2.3977060376824775,-0.08636939969703002,0.0,0.0,1e-12,-4.99999999999593,2.400000000000012,-4.891721546735166e-12,0.00021526461949033433,0.00025191897858843377,0.001027,0.22,0.02694992110032215,0.6,1.2,5.690810926029806,25,1.0560000000000005,1.0,0.0,12.0,13.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3973.7158339994494,3961.429118004162,1.0,0.114,0.9998636389280026,0.999590972564498,3.776821588898105,3.776821588898105,873.8210599501813,746.0868909812855,109.2528293100834,0.0,18.481339658812388,8.934665361366902e-15,0
8.888,-4.9414353957122445,2.395738749487585,-0.10247255120292702,0.0,0.0,1e-12,-4.97381999999593,2.399999999999879,-0.1094339421753167,0.00028600982163045306,0.0007623893697297535,0.0046830000000000005,0.22,-0.3651360145668558,0.6,1.2,5.668976750867713,25,1.0560000000000014,1.0,0.0,12.0,14.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,713.7547570164315,646.2247650197241,1.0,0.11900000000000001,0.9998588997862168,0.9995767590836522,3.8135123842319096,3.8135123842319096,875.6792626841806,747.9562038369245,109.24170729672454,0.0,18.48135155053152,1.0295544534242142e-14,0
8.988,-4.919584967286535,2.3931813929774335,-0.1233555995861535,0.0,0.0,1e-12,-4.97381999999593,2.399999999999879,-0.1094339421753167,0.00028600982163045306,0.0007623893697297535,0.0046830000000000005,0.22,-0.07568132796930384,0.6,1.2,5.647078895114098,25,1.0560000000000014,1.0,0.0,12.0,14.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,713.7547570164315,646.2247650197241,1.0,0.11900000000000001,0.9998588997862168,0.9995767590836522,3.8135123842319096,3.8135123842319096,875.6792626841806,747.9562038369245,109.24170729672454,0.0,18.48135155053152,1.0295544534242142e-14,0
9.086,-4.89775749845172,2.390431594431445,-0.12540543948351354,0.0,0.0,1e-12,-4.97381999999593,2.399999999999879,-0.1094339421753167,0.00028600982163045306,0.0007623893697297535,0.0046830000000000005,0.22,0.014652223304158146,0.6,1.2,5.625163543649438,25,1.0560000000000014,1.0,0.0,12.0,14.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,713.7547570164315,646.2247650197241,1.0,0.11900000000000001,0.9998588997862168,0.9995767590836522,3.8135123842319096,3.8135123842319096,875.6792626841806,747.9562038369245,109.24170729672454,0.0,18.48135155053152,1.0295544534242142e-14,0
9.186,-4.875928642294059,2.3876928089771865,-0.12309639229410907,0.0,0.0,1e-12,-4.90089639634568,2.3854879159329294,-0.259464697130885,0.0003218480419308591,0.0008792346588316763,0.005451484241191126,0.22,0.2726698101104119,0.6,1.2,5.603249834158082,25,1.0559999999999985,1.0,0.0,10.0,12.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,608.3814200246707,590.5763479822781,1.0,0.11900000000000001,0.9998429509178343,0.9995289267428719,3.9344747593363087,3.9344747593363087,884.9220821007791,757.2920737183578,109.14959866917381,0.0,18.480409713247607,1.6407835052134197e-14,0
9.296,-4.854060991581646,2.385289505904239,-0.09582941129419265,0.0,0.0,1e-12,-4.90089639634568,2.3854879159329294,-0.259464697130885,0.0003218480419308591,0.0008792346588316763,0.005451484241191126,0.22,0.2726698101104119,0.6,1.2,5.581370128624268,25,1.0559999999999985,1.0,0.0,10.0,12.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,608.3814200246707,590.5763479822781,1.0,0.11900000000000001,0.9998429509178343,0.9995289267428719,3.9344747593363087,3.9344747593363087,884.9220821007791,757.2920737183578,109.14959866917381,0.0,18.480409713247607,1.6407835052134197e-14,0
9.386,-4.832146857963313,2.3833486370744295,-0.0847218491748695,0.0,0.0,1e-12,-4.90089639634568,2.3854879159329294,-0.259464697130885,0.0003218480419308591,0.0008792346588316763,0.005451484241191126,0.22,0.06004587743352605,0.6,1.2,5.559544359328973,25,1.0559999999999985,1.0,0.0,10.0,12.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,608.3814200246707,590.5763479822781,1.0,0.11900000000000001,0.9998429509178343,0.9995289267428719,3.9344747593363087,3.9344747593363087,884.9220821007791,757.2920737183578,109.14959866917381,0.0,18.480409713247607,1.6407835052134197e-14,0
9.486,-4.810224088059609,2.3815068783312583,-0.0844565894668593,0.0,0.0,1e-12,-4.90089639634568,2.3854879159329294,-0.259464697130885,0.0003218480419308591,0.0008792346588316763,0.005451484241191126,0.22,-0.01857505441268457,0.6,1.2,5.537732675614136,25,1.0559999999999985,1.0,0.0,10.0,12.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,608.3814200246707,590.5763479822781,1.0,0.11900000000000001,0.9998429509178343,0.9995289267428719,3.9344747593363087,3.9344747593363087,884.9220821007791,757.2920737183578,109.14959866917381,0.0,18.480409713247607,1.6407835052134197e-14,0
9.587,-4.7883048911398385,2.379623146158249,-0.08731076671909599,0.0,0.0,1e-12,-4.90089639634568,2.3854879159329294,-0.259464697130885,0.0003218480419308591,0.0008792346588316763,0.005451484241191126,0.22,-0.03301957324468989,0.6,1.2,5.515917001445343,25,1.0559999999999985,1.0,0.0,10.0,12.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,608.3814200246707,590.5763479822781,1.0,0.11900000000000001,0.9998429509178343,0.9995289267428719,3.9344747593363087,3.9344747593363087,884.9220821007791,757.2920737183578,109.14959866917381,0.0,18.480409713247607,1.6407835052134197e-14,0
9.687,-4.766390945182993,2.377679225262033,-0.08945936337752099,0.0,0.0,1e-12,-4.785371324624775,2.3566684189553633,-0.19778708690926716,0.00038725600320219333,0.0011971660461172042,0.006678607440643466,0.22,-0.02467793093333734,0.6,1.2,5.494095024128705,25,1.056000000000001,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,368.4680050064344,335.01181099563837,1.0,0.20500000000000002,0.9998136151941452,0.9994409497938485,4.1477572224977015,4.1477572224977015,897.8787989952058,770.7312534838106,108.675861153851,0.0,18.47168435754415,3.054604669220738e-14,0
9.786,-4.74448136668477,2.3756867081710595,-0.09192715648253814,0.0,0.0,1e-12,-4.785371324624775,2.3566684189553633,-0.19778708690926716,0.00038725600320219333,0.0011971660461172042,0.006678607440643466,0.22,-0.02467793093333734,0.6,1.2,5.472268297023713,25,1.056000000000001,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,368.4680050064344,335.01181099563837,1.0,0.20500000000000002,0.9998136151941452,0.9994409497938485,4.1477572224977015,4.1477572224977015,897.8787989952058,770.7312534838106,108.675861153851,0.0,18.47168435754415,3.054604669220738e-14,0
9.887,-4.722577266930981,2.3736348852977156,-0.09513157933857275,0.0,0.0,1e-12,-4.785371324624775,2.3566684189553633,-0.19778708690926716,0.00038725600320219333,0.0011971660461172042,0.006678607440643466,0.22,-0.03601069633712247,0.6,1.2,5.450435542820247,25,1.056000000000001,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,368.4680050064344,335.01181099563837,1.0,0.20500000000000002,0.9998136151941452,0.9994409497938485,4.1477572224977015,4.1477572224977015,897.8787989952058,770.7312534838106,108.675861153851,0.0,18.47168435754415,3.054604669220738e-14,0
9.988,-4.700679977237544,2.371511589432236,-0.0980269447709949,0.0,0.0,1e-12,-4.785371324624775,2.3566684189553633,-0.19778708690926716,0.00038725600320219333,0.0011971660461172042,0.006678607440643466,0.22,-0.02672511458699428,0.6,1.2,5.428595363928044,25,1.056000000000001,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,368.4680050064344,335.01181099563837,1.0,0.20500000000000002,0.9998136151941452,0.9994409497938485,4.1477572224977015,4.1477572224977015,897.8787989952058,770.7312534838106,108.675861153851,0.0,18.47168435754415,3.054604669220738e-14,0
