plan_stamp,point_idx,x,y
17.359,0,-0.5999817965140108,-0.6000000000042383
17.359,1,-0.5559817965140156,-0.6000000205042196
17.359,2,-0.512858863016288,-0.5912585900405845
17.359,3,-0.4723321712970967,-0.5741242018607389
17.359,4,-0.4360173926659146,-0.5492799499507247
17.359,5,-0.40536228274885616,-0.5177162962336237
17.359,6,-0.37831941702495003,-0.4830077466609495
17.359,7,-0.35134670810627944,-0.4482446487899503
17.359,8,-0.32440545988331615,-0.41345716333628924
17.359,9,-0.2969461306936539,-0.3790771511132873
17.359,10,-0.26980819747146667,-0.34444288223940883
17.359,11,0.6,0.6
17.51,0,-0.5999817965140108,-0.6000000000042383
17.51,1,-0.5559817965140156,-0.6000000205042196
17.51,2,-0.512858863016288,-0.5912585900405845
17.51,3,-0.4723321712970967,-0.5741242018607389
17.51,4,-0.4360173926659146,-0.5492799499507247
17.51,5,-0.40536228274885616,-0.5177162962336237
17.51,6,-0.37848759855152636,-0.48287736184558894
17.51,7,-0.3515646547035438,-0.4480757082274291
17.51,8,-0.32462301721952336,-0.41328852424137436
17.51,9,-0.29742527246597306,-0.37870120459499634
17.51,10,-0.27052114366598423,-0.3438850035742989
17.51,11,0.6,0.6
17.755,0,-0.5476120878116183,-0.590402087482993
17.755,1,-0.5066560498199816,-0.574320950955135
17.755,2,-0.4697112344559959,-0.5504236578506638
17.755,3,-0.43825051492211664,-0.5196629178333855
17.755,4,-0.40998249899302597,-0.4859446842581716
17.755,5,-0.3816811254431458,-0.4522544444966302
17.755,6,-0.3533138060409737,-0.41861971259736946
17.755,7,-0.3247560952500816,-0.3851464821828462
17.755,8,-0.2962926345817565,-0.3515930709288066
17.755,9,-0.2677475791169567,-0.3181090477459287
17.755,10,-0.23909684670260964,-0.2847154026600522
17.755,11,0.6,0.6
18.204,0,-0.5205201644851037,-0.5804082093002149
18.204,1,-0.4842442369786471,-0.5555072638654266
18.204,2,-0.4536384670150709,-0.5238957652464643
18.204,3,-0.4249027433397011,-0.4905752282632043
18.204,4,-0.396117208626904,-0.45729771346269144
18.204,5,-0.3673040597063408,-0.4240441053985814
18.204,6,-0.33843077726702936,-0.3908426963745693
18.204,7,-0.30944481773539245,-0.3577396126808965
18.204,8,-0.28046170077750504,-0.32463404016801856
18.204,9,-0.25150210848915383,-0.29150788713914316
18.204,10,-0.22230190282480622,-0.25859363507169064
18.204,11,0.6,0.6
18.468,0,-0.4435323047935348,-0.529972889225486
18.468,1,-0.41872310696836285,-0.4936341536493617
18.468,2,-0.39022660444801294,-0.46010879989868975
18.468,3,-0.3616814362621361,-0.4266248728106075
18.468,4,-0.33307880062067907,-0.3931900222148287
18.468,5,-0.3044083595340158,-0.3598132966729759
18.468,6,-0.27565731979485675,-0.32650597444621476
18.468,7,-0.24682924548705348,-0.2932653046018242
18.468,8,-0.21806297717216663,-0.25997113383221443
18.468,9,-0.1893899162737088,-0.22659665887434688
18.468,10,-0.1600686882934255,-0.19379017186753295
18.468,11,0.6,0.6
18.697,0,-0.41254333158802137,-0.4906925215647917
18.697,1,-0.39571744124876446,-0.4500367788672182
18.697,2,-0.3711498992901338,-0.4135342326257445
18.697,3,-0.34163069566836307,-0.3809057693224193
18.697,4,-0.31205225683640725,-0.3483309944764707
18.697,5,-0.2823862580630217,-0.3158359407485956
18.697,6,-0.2527010975049715,-0.28335839092348136
18.697,7,-0.22297469072127932,-0.2509185891403252
18.697,8,-0.19317433964264674,-0.21854670202217527
18.697,9,-0.16347008470503743,-0.1860866151676779
18.697,10,-0.13358829323434476,-0.1537898887313649
18.697,11,0.6,0.6
19.141,0,-0.3823247496174227,-0.441778266046871
19.141,1,-0.35950330476936737,-0.4041593658097937
19.141,2,-0.330092128568264,-0.37143349356064426
19.141,3,-0.30058038214460975,-0.33879828522630184
19.141,4,-0.2710954119588802,-0.3061388833158773
19.141,5,-0.24143324632049898,-0.27364033058439036
19.141,6,-0.2117362332518747,-0.24117361817303032
19.141,7,-0.18202251184731352,-0.2087221966280175
19.141,8,-0.1522214298652244,-0.17635098236755448
19.141,9,-0.12244708426084391,-0.1439551748636365
19.141,10,-0.09278771510813323,-0.11145406993683077
19.141,11,0.6,0.6
19.405,0,-0.3121682033432553,-0.3749951226271084
19.405,1,-0.2751851090053146,-0.3511571123663718
19.405,2,-0.24367509584553565,-0.32044686862473803
19.405,3,-0.21579919339255715,-0.28640374799175217
19.405,4,-0.18788277999818517,-0.2523938396826354
19.405,5,-0.1598805768351763,-0.2184545318226101
19.405,6,-0.13170087282716228,-0.18466245757404232
19.405,7,-0.103444463014023,-0.15093449729667116
19.405,8,-0.07513320959054182,-0.11725255956156713
19.405,9,-0.0465070563566604,-0.08383784198038233
19.405,10,-0.018019826717767785,-0.050304608502219225
19.405,11,0.6,0.6
19.801,0,-0.25886116623281247,-0.35093848353866214
19.801,1,-0.2170952841821863,-0.33709611753666724
19.801,2,-0.1789119926805448,-0.3152320774228028
19.801,3,-0.14583353906571428,-0.2862180134804402
19.801,4,-0.11917865689822138,-0.25121062487978807
19.801,5,-0.09483575183093247,-0.21455789001750308
19.801,6,-0.07029338595468751,-0.1780384119654207
19.801,7,-0.04557870609285615,-0.1416353269405607
19.801,8,-0.020569895851572633,-0.10543367766438166
19.801,9,0.004972188509803618,-0.06960628693499224
19.801,10,0.030324507553712386,-0.0336443637509374
19.801,11,0.6,0.6
20.048,0,-0.1809716874156008,-0.3137389821835987
20.048,1,-0.14746199902495255,-0.28522406005567325
20.048,2,-0.12028531389623176,-0.25062019054062673
20.048,3,-0.0956141060490943,-0.21418762950844916
20.048,4,-0.07069813334176639,-0.17792202177815336
20.048,5,-0.04552315448469134,-0.14183573020440163
20.048,6,-0.02011823535859067,-0.10591094650016361
20.048,7,0.005498420153875257,-0.07013683630360318
20.048,8,0.03132917597956575,-0.034517009612930506
20.048,9,0.05755825065448263,0.0008105383022253693
20.048,10,0.08426159389735952,0.035780975240489406
20.048,11,0.6,0.6
20.348,0,-0.14300276589950672,-0.27767389217297755
20.348,1,-0.11702346566501366,-0.24216226084849363
20.348,2,-0.09194278587215443,-0.20601036600011724
20.348,3,-0.06671309336064979,-0.16996230619414535
20.348,4,-0.041248650385437124,-0.1340796900135748
20.348,5,-0.015532939488743906,-0.09837671796533079
20.348,6,0.010509885471009575,-0.0629116468655058
20.348,7,0.036768097156618613,-0.0276057504872272
20.348,8,0.06309881764475662,0.00764610277718359
20.348,9,0.08971052806879952,0.04268632064618216
20.348,10,0.11718820863284411,0.07705166759365711
20.348,11,0.6,0.6
20.624,0,-0.10838175518104237,-0.21974757275891832
20.624,1,-0.09428476994641435,-0.17806694167810716
20.624,2,-0.07218812278569338,-0.1400177868352647
20.624,3,-0.04469526829745046,-0.10566457807555343
20.624,4,-0.01700530155014949,-0.07147005012833113
20.624,5,0.010746723155604005,-0.037325868709951096
20.624,6,0.038806349335815324,-0.0034340204477686376
20.624,7,0.06706468788280263,0.030292323892581262
20.624,8,0.09524032094990946,0.06408779254250171
20.624,9,0.12345398100739047,0.09785152139701216
20.624,10,0.15269357015386695,0.1307307918655803
20.624,11,0.6,0.6
21.022,0,-0.08887618012906039,-0.16426723170907867
21.022,1,-0.07605217206767725,-0.122177508293005
21.022,2,-0.05512185318832842,-0.08347451420199475
21.022,3,-0.02691964925529286,-0.04970121567609601
21.022,4,0.0028699300728097094,-0.017319415796307303
21.022,5,0.03283731688793852,0.014897904506170435
21.022,6,0.06284508542328285,0.04707761593323576
21.022,7,0.09286696865843509,0.07924415953081373
21.022,8,0.12276779202298052,0.11152326673845278
21.022,9,0.15260581448608151,0.1438604344482489
21.022,10,0.18324825736096276,0.1754363856557682
21.022,11,0.6,0.6
21.443,0,-0.048693145199155,-0.08689238148395662
21.443,1,-0.020519602830542178,-0.05309516990660931
21.443,2,0.008751413303239353,-0.020243874429932876
21.443,3,0.03811705280380272,0.01252286505880712
21.443,4,0.06755344317977198,0.045226059423173794
21.443,5,0.0971319843050905,0.07780074138475004
21.443,6,0.12677116584360867,0.11032025733635614
21.443,7,0.15652576617478017,0.14273420123604613
21.443,8,0.186469082535069,0.17497389424555942
21.443,9,0.21641886094063242,0.20720758428343203
21.443,10,0.2461627205128273,0.23963138445783405
21.443,11,0.6,0.6
21.704,0,0.02214397965374283,-0.02787733649656699
21.704,1,0.061637623207392675,-0.008480117137667841
21.704,2,0.0964903907021826,0.018376624994506634
21.704,3,0.12531281228236318,0.05162219634249733
21.704,4,0.15110193830371996,0.08727217501085813
21.704,5,0.17720635593987896,0.12269193474856657
21.704,6,0.20357035334237425,0.15791890795037916
21.704,7,0.2302138756294699,0.1929349431362342
21.704,8,0.2574887083296198,0.22746150539167506
