wp_idx,x,y
0,3.346487,-0.780925
1,3.339479,-0.541028
2,3.305171,-0.303492
3,3.259501,-0.067878
4,3.208880,0.166723
5,3.156325,0.399754
6,3.103211,0.625836
7,3.047483,0.844775
8,2.985427,1.055621
9,2.914158,1.257336
10,2.825504,1.457861
11,2.773072,1.582150
12,2.615429,1.741492
13,2.402238,1.838552
14,2.162960,1.857153
15,1.925593,1.821699
16,1.687143,1.795113
17,1.447888,1.777514
18,1.208605,1.766104
19,0.969726,1.758490
20,0.731106,1.752796
21,0.493181,1.747591
22,0.258987,1.741846
23,0.027825,1.734722
24,-0.184698,1.726554
25,-0.380023,1.717530
26,-0.560740,1.707952
27,-0.729580,1.698043
28,-0.889443,1.687986
29,-1.043288,1.678079
30,-1.193952,1.668743
31,-1.344625,1.660333
32,-1.260375,1.869547
33,-1.125532,1.915422
34,-0.940489,1.639599
35,-1.116712,1.544943
36,-1.122537,1.773675
37,-0.855230,1.697378
38,-0.997448,1.546065
39,-1.050894,1.761141
40,-1.035398,1.771473
41,-1.000000,1.750000
