wp_idx,x,y
0,-5.150498,-0.607672
1,-5.098627,-0.467834
2,-5.082298,-0.321089
3,-5.079704,-0.173926
4,-5.077296,-0.026886
5,-5.074727,0.120049
6,-5.072055,0.266890
7,-5.069344,0.413650
8,-5.066661,0.560344
9,-5.064068,0.706983
10,-5.061626,0.853578
11,-5.059393,1.000143
12,-5.057425,1.146688
13,-5.055775,1.293224
14,-5.054493,1.439761
15,-5.053626,1.586310
16,-5.053217,1.732879
17,-5.053305,1.879478
18,-5.053926,2.026116
19,-5.055111,2.172799
20,-5.056886,2.319537
21,-5.059273,2.466338
22,-5.062287,2.613208
23,-5.065939,2.760155
24,-5.070232,2.907188
25,-5.075164,3.054313
26,-5.080723,3.201540
27,-5.086893,3.348877
28,-5.093646,3.496334
29,-5.100948,3.643922
30,-5.108755,3.791651
31,-5.117017,3.939650
32,-5.125671,4.087944
33,-5.134640,4.236555
34,-5.143834,4.385507
35,-5.027104,4.480931
36,-4.896407,4.536920
37,-4.756830,4.558951
38,-4.614843,4.564364
39,-4.473127,4.568197
40,-4.331642,4.571428
41,-4.190354,4.573985
42,-4.049260,4.575748
43,-3.908388,4.576589
44,-3.767471,4.576290
45,-3.626203,4.575039
46,-3.484872,4.575068
47,-3.336018,4.565682
48,-3.188146,4.552899
49,-3.040242,4.538890
50,-2.953952,4.397824
51,-2.918186,4.254059
52,-2.918563,4.104059
53,-2.939895,3.955612
54,-2.965836,3.808223
55,-2.993195,3.661166
56,-3.021290,3.514285
57,-3.049768,3.367501
58,-3.117724,3.499160
59,-2.955582,3.512781
60,-2.995627,3.362978
61,-3.093876,3.469275
62,-2.949630,3.518540
63,-3.000000,3.500000
