stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,seed
7.2780000000000005,-0.7856960152559999,-0.6403656042507219,-0.21180772587006166,0.0075632284160092825,0.00025603486394111026,0.011543200039868228,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.393,-0.7905539479086185,-0.6419142316394177,-0.2030193023136171,0.009333772301284505,0.00024996037897059457,0.015095279587506795,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.483,-0.7814485055215247,-0.6316187382714025,-0.22458041209824733,0.0107092994666779,0.00024883772463861947,0.01612983978850181,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.579,-0.7787308285786991,-0.6274269885316267,-0.2229188484283601,0.01215523879157112,0.00026025542898311274,0.01872407829960238,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.674,-0.7620437864851239,-0.6167294066098419,-0.2745760170961504,0.013579891349591176,0.00027179368566337855,0.021364683747441292,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.775,-0.7658437305757999,-0.6241881479296452,-0.2190792039866536,0.015108764739893239,0.0002590624394101647,0.023805858256468724,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.882,-0.771980907818745,-0.6056042532276539,-0.21842832761584202,0.016475428993704074,0.0002688408832529628,0.02648939710643897,0.0,0.0,0.6,0.6,1.8264208788830016,0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.978,-0.7725648026627254,-0.6407693834257034,-0.25509587161814884,0.018302308628618286,0.0002661073104849383,0.026947007055850337,0.0,0.0,0.6,0.6,1.8502547933609486,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.073,-0.7762017482446223,-0.6062360719257819,-0.21222620419191088,0.019504961116777526,0.0002580866990853807,0.030575436991885387,0.0,0.0,0.6,0.6,1.830010030870458,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.178,-0.7836113095914785,-0.6201431305581928,-0.2592333869924635,0.020674346824848956,0.00028214292269251125,0.03235094868884428,0.0,0.0,0.6,0.6,1.8447573051970259,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.274000000000001,-0.7703074773877258,-0.6136542792912575,-0.22296139538203544,0.021635346294651015,0.00026427836184370155,0.03414493668760849,0.0,0.0,0.6,0.6,1.8304915438828704,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.374,-0.7768581427236005,-0.62531688294855,-0.17740362088606088,0.023160860586491937,0.00025655277453081726,0.035910450476315414,0.0,0.0,0.6,0.6,1.8431331500526578,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.475,-0.7633771095688622,-0.6461082743872885,-0.2074057506889371,0.02473944352042536,0.00028514510189806404,0.03585823144358226,0.0,0.0,0.6,0.6,1.8470470958783944,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.576,-0.8003826713470374,-0.6117042117737693,-0.2126534825842117,0.02530250310850537,0.0002805477111305813,0.04011031478603383,0.0,0.0,0.6,0.6,1.851836581083589,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.674,-0.8087517363153214,-0.6011114421235338,-0.21372590151636553,0.02536894771907627,0.0002495662946914063,0.0384264340937423,0.0,0.0,0.6,0.6,1.851283379434793,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.769,-0.8129298818749923,-0.6117009105853619,-0.2471474287918721,0.02651477625517041,0.0002498617190858832,0.04115210761943814,0.0,0.0,0.6,0.6,1.8613409004824115,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.895,-0.7971807748585398,-0.6148928478882084,-0.2900147141749553,0.028061382105184263,0.00025086080087997247,0.042415725449462295,0.0,0.0,0.6,0.6,1.8515071562065946,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.977,-0.8161844548116026,-0.6194982391109538,-0.23285293317786412,0.028773755872673258,0.0002477438158978724,0.0442404857755483,0.0,0.0,0.6,0.6,1.868891212790288,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.074,-0.8050158326211989,-0.61501268588707,-0.19293715407714906,0.029822384399808353,0.00024724897699143663,0.04495962916406015,0.0,0.0,0.6,0.6,1.857505132370501,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.175,-0.8073709324880991,-0.6221658270241028,-0.22493810433712227,0.02991007753589141,0.0002479031392033504,0.04939115115134391,0.0,0.0,0.6,0.6,1.8639694875072206,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.273,-0.8418698495461882,-0.6254662554714617,-0.29036982190929544,0.030367675152955208,0.000284429129669679,0.045521562124862254,0.0,0.0,0.6,0.6,1.892288616022829,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.394,-0.8495176606642711,-0.6050612625138003,-0.2995750735038115,0.03038438617658425,0.000337971260545069,0.046982007072579185,0.0,0.0,0.6,0.6,1.8850130224985118,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.458,-0.8514191066596566,-0.6015816245254096,-0.2825216884603711,0.03125782059831339,0.00035483840748202025,0.048276250287224855,0.0,0.0,0.6,0.6,1.884254713029488,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.594,-0.8340728141679431,-0.6208032941823892,-0.2693173199829691,0.03226175108947569,0.0003039217209984084,0.049143336342392444,0.0,0.0,0.6,0.6,1.8833283089844257,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.677,-0.850467517770193,-0.6015560120890576,-0.26515364859598084,0.0324305941508197,0.00035154732513200206,0.05140829760209985,0.0,0.0,0.6,0.6,1.8835054739219064,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.793,-0.8314907956547963,-0.6340890995261519,-0.17036516528935716,0.03421358535091925,0.00035555246773429696,0.05152831133542181,0.0,0.0,0.6,0.6,1.8900110591247,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.873,-0.8318093688338238,-0.6215626290489223,-0.2682288684539485,0.034672759912326344,0.0002903631232756981,0.05171162430662221,0.0,0.0,0.6,0.6,1.8820981178911018,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.975,-0.8295346630661339,-0.6236488863304271,-0.2688691497397858,0.03541277882637174,0.0002957566627951033,0.05407425105384116,0.0,0.0,0.6,0.6,1.881724196030146,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.099,-0.8352984158992076,-0.6338016932376561,-0.2610125780256678,0.03724823038444998,0.00031023519499443213,0.05525041580429487,0.0,0.0,0.6,0.6,1.8927092119284679,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.194,-0.8015547165672847,-0.6409905471038366,-0.24971414478787776,0.03806957275656704,0.000309559323439942,0.056992574138542876,0.0,0.0,0.6,0.6,1.8720077888548117,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.294,-0.8755450715788418,-0.6132816799607634,-0.33266063596775264,0.03411807280979404,0.0002910909330204628,0.05153569931149168,0.0,0.0,0.6,0.6,1.9103103656707259,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.374,-0.8868378536887184,-0.6074394702699097,-0.428703206082266,0.02412641401344833,0.0004384115445450893,0.03599065573073447,0.0,0.0,0.6,0.6,1.915358159072959,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.48,-0.8945889161375895,-0.619906268360055,-0.35253411838119364,0.023869618402295862,0.0005644113843489265,0.03721069576529249,0.0,0.0,0.6,0.6,1.9292400918044104,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.594,-0.8943588834169599,-0.6041688207398344,-0.3545839743321215,0.025415538644245173,0.0006324222784428739,0.03947731289937232,0.0,0.0,0.6,0.6,1.9191485146515228,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.673,-0.8924847939092722,-0.6219194883666568,-0.34221616109522673,0.02648341249080739,0.0006114825372860293,0.04229598536636048,0.0,0.0,0.6,0.6,1.9288851951582382,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.774000000000001,-0.887618897847387,-0.6204300980009518,-0.37099528301569606,0.028299969463566388,0.0005918637571430638,0.04178258062926336,0.0,0.0,0.6,0.6,1.9241776449536272,0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.874,-0.8961669319945024,-0.6145341566168078,-0.4072287157362235,0.028902066361511495,0.0006009246180568481,0.04575352677990045,0.0,0.0,0.6,0.6,1.9270725741348567,0,0.0,0.0,0.0,0.0,0.0,0.0,0
