plan_stamp,point_idx,x,y
26.005,0,-4.21863893965948,-3.166961871389813
26.005,1,-4.186672007962173,-3.1367275320079164
26.005,2,-4.149335650637476,-3.113446715404486
26.005,3,-4.109925061354562,-3.09388130070473
26.005,4,-4.070610956463107,-3.0741227289804463
26.005,5,-4.031174094526766,-3.054610324704858
26.005,6,4.4,3.8
26.314,0,-4.218630199909958,-3.1669500512401396
26.314,1,-4.186663268212651,-3.136715711858243
26.314,2,-4.149326910887954,-3.1134348952548128
26.314,3,-4.109898367073006,-3.093905688086247
26.314,4,-4.070529157753878,-3.0742571421454725
26.314,5,-4.031042155832395,-3.0548464059602374
26.314,6,4.4,3.8
26.868,0,-4.16413933402043,-3.123004651248701
26.868,1,-4.12272583502411,-3.1081412027631763
26.868,2,-4.083365344257623,-3.088475197408218
26.868,3,-4.044077021667813,-3.0686654092195718
26.868,4,-4.004719908866533,-3.0489926444940094
26.868,5,-3.9654668572485825,-3.0291130585154606
26.868,6,4.4,3.8
27.25,0,-4.041578383059597,-3.0772676186419288
27.25,1,-3.9980921161228533,-3.070563546155277
27.25,2,-3.956804572897593,-3.0553537212245865
27.25,3,-3.917688168393714,-3.035206589947679
27.25,4,-3.8785255922869326,-3.0151493560237164
27.25,5,-3.839454776728735,-2.994913957050202
27.25,6,4.4,3.8
27.782,0,-3.937897994148322,-3.065959334997825
27.782,1,-3.900122946959809,-3.043397291431126
27.782,2,-3.861166094959649,-3.0229433509247685
27.782,3,-3.822171779728958,-3.002560922715905
27.782,4,-3.783289792608982,-2.98196502318221
27.782,5,-3.7442702826432126,-2.9616308686133275
27.782,6,4.4,3.8
28.197,0,-3.8318602087284512,-3.0171436302099544
28.197,1,-3.796969364799114,-2.9903363735450395
28.197,2,-3.7580123287491154,-2.969882783586327
28.197,3,-3.7190534148069867,-2.949432770763597
28.197,4,-3.6801245112540277,-2.9289256873979785
28.197,5,-3.6410917295397316,-2.908617020488402
28.197,6,4.4,3.8
28.749,0,-3.7329956448760404,-2.9616103934881775
28.749,1,-3.6914939492397427,-2.946995015993494
28.749,2,-3.6526353109713936,-2.9263550975845085
28.749,3,-3.6138033951553123,-2.9056649474146137
28.749,4,-3.5749287245234878,-2.8850552413694723
28.749,5,-3.5358408746421386,-2.864852766480164
28.749,6,4.4,3.8
29.266,0,-3.6419245905460023,-2.9305691459864174
29.266,1,-3.600213199235896,-2.916563438757748
29.266,2,-3.5613951737143545,-2.8958472399121833
29.266,3,-3.5225514176913726,-2.8751793271480204
29.266,4,-3.4836665296171567,-2.854588905116024
29.266,5,-3.443373454491687,-2.8369121379643842
29.266,6,4.4,3.8
30.192,0,-3.5287277619609307,-2.888800492590048
30.192,1,-3.494149797728918,-2.8615908547833877
30.192,2,-3.4574402304075997,-2.837333738980358
30.192,3,-3.4166432654253565,-2.8208532156804864
30.192,4,-3.373385349033762,-2.8128063113404402
30.192,5,-3.3563105809992484,-2.813080908842769
30.192,6,4.4,3.8
30.353,0,-3.347044119366614,-2.7462459462576554
30.353,1,-3.347044119366614,-2.7462459462576554
30.353,2,-3.347044119366614,-2.7462459462576554
30.353,3,-3.347044119366614,-2.7462459462576554
30.353,4,-3.34698407316741,-2.7462206217132192
30.353,5,-3.344848813037818,-2.745789748953137
30.353,6,4.4,3.8
30.704,0,-3.0684190987846627,-2.5241000089114407
30.704,1,-3.0684190987846627,-2.5241000089114407
30.704,2,-3.0684190987846627,-2.5241000089114407
30.704,3,-3.0684190987846627,-2.5241000089114407
30.704,4,-3.067867027966548,-2.524044426154677
30.704,5,-3.067017219394147,-2.524129397566008
30.704,6,4.4,3.8
31.193,0,-0.43668540654507915,-0.6742114935505916
31.193,1,-0.4362792407345981,-0.6741457029648861
31.193,2,-0.4362792407345981,-0.6741457029648861
31.193,3,-0.4362792407345981,-0.6741457029648861
31.193,4,-0.4362792407345981,-0.6741457029648861
31.193,5,-0.4362792407345981,-0.6741457029648861
31.193,6,4.4,3.8
31.612,0,-2.3807420570294062,-2.251816979541023
31.612,1,-2.3807420570294062,-2.251816979541023
31.612,2,-2.3807420570294062,-2.251816979541023
31.612,3,-2.3807420570294062,-2.251816979541023
31.612,4,-2.3807420570294062,-2.251816979541023
31.612,5,-2.3807420570294062,-2.251816979541023
31.612,6,4.4,3.8
32.275,0,-2.2967361940655096,-2.3418813214789895
32.275,1,-2.2967360605153333,-2.3418820524245674
32.275,2,-2.2967360748432215,-2.3418827953314842
32.275,3,-2.2967360748432215,-2.3418827953314842
32.275,4,-2.2967360748432215,-2.3418827953314842
32.275,5,-2.2967360748432215,-2.3418827953314842
32.275,6,4.4,3.8
32.784,0,-2.301870082518527,-2.4986078214152516
32.784,1,-2.301870082518527,-2.4986078214152516
32.784,2,-2.301870082518527,-2.4986078214152516
32.784,3,-2.301870082518527,-2.4986078214152516
32.784,4,-2.301870082518527,-2.4986078214152516
32.784,5,-2.301870082518527,-2.4986078214152516
32.784,6,4.4,3.8
33.081,0,-2.2650359582000097,-2.571141706264511
33.081,1,-2.2650359582000097,-2.571141706264511
33.081,2,-2.2650359582000097,-2.571141706264511
33.081,3,-2.2650359582000097,-2.571141706264511
33.081,4,-2.2650359582000097,-2.571141706264511
