condition,candidate,selected,total_cost,risk_cost,ambiguity_cost,drive_barrier_cost,terminal_goal_distance_m,path_length_m,rollout_valid,optimizer_success,optimizer_status,optimizer_nfev,solve_time_ms,x_min,x_max,y_min,y_max
C1 constant-R,zero_hold,1,2300.8546115878758,320.3428885021036,1497.1020906852184,483.40963240055356,0.0561627794457155,6.463301373308026,1,0,1,161,3010.475777089596,0.9639993923759546,3.2,-1.0013533939945602,1.8404004861112881
C1 constant-R,local_left_escape,0,10400.970767490293,8388.410827651545,1497.1020906852189,515.4578491535286,3.5217183305880666,0.0,1,0,-2,0,1706.755727995187,3.2,3.2,-1.0,-1.0
C1 constant-R,local_right_escape,0,2348.5908499282486,365.3585359578047,1497.1020906852184,486.1302232852257,0.03282040051315444,6.959205133189119,1,0,1,135,1850.2252000616863,0.941507318192908,3.2,-2.104887114285423,1.7791949250292118
C1 constant-R,floor_route_upper_cross,0,4069.5255915116113,1848.9755094948484,1497.1020906852189,723.4479913315439,0.6811668540049288,7.99308091379118,1,0,1,165,2013.6535880155861,0.7463365232118466,3.4914836853462035,-1.6339611555297902,1.3237492599466676
C1 constant-R,floor_route_lower_sweep,0,10400.970767490293,8388.410827651545,1497.1020906852189,515.4578491535286,3.5217183305880666,0.0,1,0,-2,0,2567.4009359208867,3.2,3.2,-1.0,-1.0
C2 visibility-aware,zero_hold,0,10481.71663884303,8386.509774298089,1579.5938293269342,515.6130352180087,3.5217183305880666,0.0,1,0,-2,0,4733.7054430972785,3.2,3.2,-1.0,-1.0
C2 visibility-aware,local_left_escape,0,8743.975197639335,6476.8184547462215,1599.1471757324514,668.0095671606623,3.263855952088962,9.229327648236964,1,0,1,162,2929.077317006886,0.3807368473683205,3.3799717665232825,-2.305907047032739,-0.9894418424739442
C2 visibility-aware,local_right_escape,0,10481.71663884303,8386.509774298089,1579.5938293269342,515.6130352180087,3.5217183305880666,0.0,1,0,-2,0,3339.893841999583,3.2,3.2,-1.0,-1.0
C2 visibility-aware,floor_route_upper_cross,1,2648.162501260423,471.3086500978886,1657.565811536642,519.2880396258925,0.1541140611924301,8.326253694606518,1,0,1,161,3193.5452349716797,0.7004173680975528,3.2,-1.937694268844479,1.8174047433720995
C2 visibility-aware,floor_route_lower_sweep,0,10481.71663884303,8386.509774298089,1579.5938293269342,515.6130352180087,3.5217183305880666,0.0,1,0,-2,0,2976.4697689097375,3.2,3.2,-1.0,-1.0
