H,init,total,risk,ambiguity,nogo,terminal_d,mean_pvis,min_pvis,valid,invalid,solve_ms,source
80,cold,3119.743553893559,1042.1856991247105,1987.9934955794722,89.56435918937605,1.460799309339557,0.25186931977202204,0.007129717326908576,True,,5000.4364039050415,solver:warm_or_cold
80,direct_goal_seed,3149.4302852024657,1062.0003358181511,1712.2065281031996,375.2234212811152,0.45559028113693895,0.49594828944218755,0.24041231954548792,False,predicted_collision_geometry,3651.4104859670624,solver:shifted_warm_start
80,aws_a3_detour_seed,2101.4426001797888,322.03838029731475,1656.2948991153419,123.10932076713208,0.27891684860796545,0.570910683142945,0.4917675295046558,True,,3718.6449569417164,solver:shifted_warm_start
80,aws_a4_direct_seed,2314.679385847345,421.8526760340304,1785.26325864535,107.56345116796476,0.36660284930439224,0.4910706186815631,0.004253914993364226,True,,2027.1759330062196,solver:shifted_warm_start
120,cold,3304.813469407709,977.4570378416305,1952.82501941655,374.53141214952865,0.4721398226905034,0.5047484120560631,0.18262783268475313,True,,6985.288208001293,solver:warm_or_cold
120,direct_goal_seed,2341.43798939337,199.49651001345902,2008.8802516087771,133.06122777113393,0.07701749890511732,0.5462047781503063,0.0024194617013330233,True,,2490.342046949081,solver:shifted_warm_start
120,aws_a3_detour_seed,2559.843297173797,458.2598981258262,1885.4613378611841,216.1220611867867,0.3470418703003753,0.5505904034145942,0.45384558831076816,True,,1723.1777359265834,solver:shifted_warm_start
120,aws_a4_direct_seed,2582.0127773269564,437.3170764242342,2025.1544321579945,119.54126874472774,0.30686057543039397,0.5079630409056597,0.004037085016633897,True,,4293.859974946827,solver:shifted_warm_start
