ambiguity_cost,condition,error,horizon,init,invalid_reason,mean_pvis_eff,min_goal_distance_pred,min_pvis_eff,obstacle_cost,optimizer_nfev,optimizer_nit,optimizer_status,optimizer_success,outside_gp_steps,path_length_m,risk_cost,rollout_valid,solve_time_ms,terminal_goal_distance_pred,terminal_goal_progress_m,terminal_x,terminal_y,total_cost,x_max,x_min,y_max,y_min
0.0,C1,,80,cold,,1.0,0.015448206398464948,1.0,1152.078944781467,162,77,1,False,0,5.341727093550633,370.18488112901974,True,3170.3731298912317,0.024092058345539687,3.497626272242527,1.019341396221044,1.7356355415157594,1522.2638259104867,3.2,0.9333661565020179,1.7769447164844758,-1.0
0.0,C1,,80,direct_goal_seed,,1.0,3.5217183305880666,1.0,1160.0588916082665,0,0,-2,False,0,0.0,8388.410827651545,True,1517.8116869647056,3.5217183305880666,0.0,3.2,-1.0,9548.469719259812,3.2,3.2,-1.0,-1.0
0.0,C1,,80,aws_a3_detour_seed,,1.0,0.012177712137169524,1.0,1055.1026658108353,141,100,1,False,0,10.009059628528492,463.53994666099106,True,2332.970733055845,0.053169585513918656,3.468548745074148,0.9648046278596043,1.7898533637679552,1518.6426124718264,3.2,0.9095392915715841,2.0195010390466757,-2.367926124020366
0.0,C1,,80,aws_a4_direct_seed,,1.0,3.5217183305880666,1.0,1160.0588916082665,0,0,-2,False,0,0.0,8388.410827651545,True,1180.520290043205,3.5217183305880666,0.0,3.2,-1.0,9548.469719259812,3.2,3.2,-1.0,-1.0
0.0,C1,,120,cold,,1.0,3.5217183305880666,1.0,1319.4803623259575,0,0,-2,False,0,0.0,24372.828177851123,True,5124.767190078273,3.5217183305880666,0.0,3.2,-1.0,25692.30854017708,3.2,3.2,-1.0,-1.0
0.0,C1,,120,direct_goal_seed,,1.0,3.5217183305880666,1.0,1319.4803623259575,0,0,-2,False,0,0.0,24372.828177851123,True,2649.2198470514268,3.5217183305880666,0.0,3.2,-1.0,25692.30854017708,3.2,3.2,-1.0,-1.0
0.0,C1,,120,aws_a3_detour_seed,,1.0,0.012838013289215862,1.0,1223.1627320864422,73,59,0,True,0,11.025869284015021,656.1188029358935,True,1758.0187189159915,0.05152087033141925,3.470197460256647,0.9488989762496131,1.7565639508963204,1879.281535022336,3.2,0.8655698960211,1.8082654492264132,-2.1441321965424005
0.0,C1,,120,aws_a4_direct_seed,,1.0,3.5217183305880666,1.0,1319.4803623259575,0,0,-2,False,0,0.0,24372.828177851123,True,1311.0625570407137,3.5217183305880666,0.0,3.2,-1.0,25692.30854017708,3.2,3.2,-1.0,-1.0
1579.5938293269342,C2,,80,cold,,0.7556839809712119,3.5217183305880666,0.7536026835233044,1160.331079150771,0,0,-2,False,0,0.0,8386.509774298089,True,4296.835611923598,3.5217183305880666,0.0,3.2,-1.0,11126.434682775794,3.2,3.2,-1.0,-1.0
1579.5938293269342,C2,,80,direct_goal_seed,,0.7556839809712119,3.5217183305880666,0.7536026835233044,1160.331079150771,0,0,-2,False,0,0.0,8386.509774298089,True,2563.0716970190406,3.5217183305880666,0.0,3.2,-1.0,11126.434682775794,3.2,3.2,-1.0,-1.0
1659.8459796703623,C2,,80,aws_a3_detour_seed,,0.5388113194277,0.005711538752529327,0.27512624728224616,1045.0990931769009,61,41,0,True,0,9.346373899613216,547.6871022126452,True,1464.3701370805502,0.14507916153869133,3.3766391690493753,1.058179982512979,1.6170975818596247,3252.632175059908,3.2,0.8329979989629458,1.8307276386695337,-2.3568968253313023
1579.5938293269342,C2,,80,aws_a4_direct_seed,,0.7556839809712119,3.5217183305880666,0.7536026835233044,1160.331079150771,0,0,-2,False,0,0.0,8386.509774298089,True,1916.2693080725148,3.5217183305880666,0.0,3.2,-1.0,11126.434682775794,3.2,3.2,-1.0,-1.0
1796.8343212000673,C2,,120,cold,,0.7546344823071283,3.5217183305880666,0.7515410702647877,1319.8024337490979,0,0,-2,False,0,0.0,24371.558379309765,True,6215.136831975542,3.5217183305880666,0.0,3.2,-1.0,27488.195134258927,3.2,3.2,-1.0,-1.0
1796.8343212000673,C2,,120,direct_goal_seed,,0.7546344823071283,3.5217183305880666,0.7515410702647877,1319.8024337490979,0,0,-2,False,0,0.0,24371.558379309765,True,2844.090811093338,3.5217183305880666,0.0,3.2,-1.0,27488.195134258927,3.2,3.2,-1.0,-1.0
1796.8343212000673,C2,,120,aws_a3_detour_seed,,0.7546344823071283,3.5217183305880666,0.7515410702647877,1319.8024337490979,0,0,-2,False,0,0.0,24371.558379309765,True,2102.125747012906,3.5217183305880666,0.0,3.2,-1.0,27488.195134258927,3.2,3.2,-1.0,-1.0
1796.8343212000673,C2,,120,aws_a4_direct_seed,,0.7546344823071283,3.5217183305880666,0.7515410702647877,1319.8024337490979,0,0,-2,False,0,0.0,24371.558379309765,True,2057.506777928211,3.5217183305880666,0.0,3.2,-1.0,27488.195134258927,3.2,3.2,-1.0,-1.0
