name,x,y,signed_distance_positive_inside_m,penalty_per_step,inside_no_go_violation
start,3.2,-1.0,0.47499999999999964,2.0192239885565826,False
goal,1.0,1.75,0.375,2.0192239885565826,False
A3 center lower,1.075,-1.0,0.44999999999999996,2.0192239885565826,False
A4 center lower,3.125,-1.0,0.5499999999999998,2.0192239885565826,False
rack body gap x2 y0,2.0,0.0,-0.4750000000000001,341.1330765545205,True
between A3/A4 y0,2.1,0.0,-0.4750000000000001,341.1330765545205,True
box spot R4,2.0,-1.25,-0.4750000000000001,341.1330765545205,True
mid cross goal lane,1.0,1.75,0.375,2.0192239885565826,False
