wp_idx,x,y
0,3.337678,-0.828176
1,3.320018,-0.679220
2,3.292247,-0.531813
3,3.259698,-0.385387
4,3.224910,-0.239476
5,3.189190,-0.093792
6,3.153324,0.051431
7,3.117872,0.196171
8,3.083394,0.340638
9,3.050342,0.485010
10,3.019059,0.629431
11,2.989790,0.773993
12,2.962676,0.918801
13,2.937764,1.063918
14,2.915008,1.209382
15,2.893976,1.357263
16,2.852469,1.472764
17,2.701837,1.567991
18,2.558149,1.611048
19,2.422234,1.617791
20,2.291549,1.620238
21,2.165902,1.621386
22,2.044573,1.621301
23,1.812346,1.617348
24,1.592183,1.607832
25,1.380917,1.591854
26,1.177427,1.570281
27,1.014257,1.443400
28,0.980849,1.314061
29,0.977813,1.172563
30,0.983123,1.030876
31,0.987750,0.892814
32,0.991015,0.757864
33,0.993154,0.625584
34,0.994475,0.495682
35,0.995285,0.367812
36,0.995872,0.241566
37,0.996514,0.116468
38,0.997478,-0.008032
39,1.047262,-0.112271
40,1.151050,0.002734
41,1.118142,0.102980
42,0.983773,0.074506
43,1.026098,-0.057040
44,1.136872,0.050029
45,0.971519,0.106423
46,1.041581,-0.037252
47,1.093001,0.102703
48,1.000000,0.000000
