condition,label,samples_after_first_cmd,belief_rmse_gt_m,belief_error_p95_gt_m,belief_error_max_gt_m,median_nees_xy,coverage_95_xy,mean_static_puse_along_gt,minimum_static_puse_along_gt,path_length_m,minimum_goal_distance_m,elapsed_after_first_cmd_s,min_obstacle_distance_m,collision_any,goal_reached,completion_reason,run_dir,selected_source
C1,constant R,228,0.0908923640465046,0.126094670301277,0.1339485830540239,8.736597786969563,0.0,0.9999000299970003,0.9999000299969999,1.080573241904753,12.436455493055082,22.61,0.43877425202521314,False,False,stuck,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/static_puse_closed_loop_gazebo_v1/route_tall_shadow_west/C1/seed0/experiment_20260812_131738,solver:warm_or_cold
C2,static $p_{use}$: $R/p$,233,0.09871512602969,0.12517991604573342,0.1408189907445831,10.883062619718357,0.017167381974248927,0.9999000299970001,0.9999000299969999,1.0839548739977338,12.460490704902556,23.201999999999998,0.4428203847367296,False,False,stuck,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/static_puse_closed_loop_gazebo_v1/route_tall_shadow_west/C2/seed0/experiment_20260812_132306,solver:warm_or_cold
C3,static $p_{use}$: hit/miss,230,0.09922044152332592,0.1263665122153868,0.1432956852315233,10.883961434731862,0.0,0.9999000299970001,0.999900029997,0.9697546724118071,12.62383367016535,22.894000000000005,0.5241472856204169,False,False,stuck,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/static_puse_closed_loop_gazebo_v1/route_tall_shadow_west/C3/seed0/experiment_20260812_132918,solver:warm_or_cold
