epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1179,2.60529,3.90828,7.7366,0.94794,0,0.00179,0.65625,0.00281,0.00091,0.00222,0.8125,0.00536,0.00194,1.7244,2.41445,5.25698,0.86203,0,0.00065,0.00065,0.00065
2,23.1888,2.50304,3.02761,5.27833,0.90371,0,9e-05,0.03125,5e-05,1e-05,0.00214,0.78125,0.01109,0.00291,2.1297,2.65517,5.63508,0.91151,0,0.00115373,0.00115373,0.00115373
3,34.1391,2.32144,2.42454,4.90128,0.86343,0,0.00179,0.65625,0.08108,0.05285,0.00197,0.71875,0.08218,0.06395,1.79559,2.52892,4.99322,0.87238,0,0.00149246,0.00149246,0.00149246
4,45.1082,2.12642,2.69068,3.74565,0.85755,0,1,0.72036,0.92225,0.43486,0.81991,0.56933,0.64883,0.25016,1.76283,1.8743,3.2568,0.86486,0,0.0012575,0.0012575,0.0012575
5,56.1292,1.75751,2.50152,3.67645,0.83061,0,1,0.96007,0.96523,0.57087,0.89828,0.84375,0.91242,0.34551,1.53724,1.80945,2.17394,0.84574,0,0.00101,0.00101,0.00101
6,67.1358,1.74335,1.82212,3.52422,0.81651,0,0.96708,0.96875,0.98979,0.61799,0.84185,0.90625,0.90505,0.36902,1.26084,1.4227,1.97487,0.82112,0,0.0007625,0.0007625,0.0007625
7,78.5351,1.55195,1.63245,3.54694,0.8043,0,0.99386,0.96875,0.99409,0.63448,0.9058,0.90161,0.88322,0.43858,1.17343,1.2677,1.85489,0.81764,0,0.000515,0.000515,0.000515
8,89.8781,1.505,1.54607,2.92162,0.80556,0,0.99614,0.96875,0.99409,0.6992,0.93708,0.93092,0.91471,0.44494,1.08285,1.19463,1.93146,0.82026,0,0.0002675,0.0002675,0.0002675
