stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,seed
7.273,4.054756527769222e-12,0.0,-4.946409165139945e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.273,4.054756527769222e-12,0.0,-4.946409165139945e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.396,4.054756527769222e-12,0.0,-4.946409181712516e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.496,4.054756527769222e-12,0.0,-4.946409168979136e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.573,4.054756527769222e-12,0.0,-4.946409175232965e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.693,4.054756527769222e-12,0.0,-4.946409179546772e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.795,4.054756527769222e-12,0.0,-4.946409173716121e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.896,4.054756527769222e-12,0.0,-4.9464091677923396e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.994,4.054756527769222e-12,0.0,-4.946409191657834e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.093,4.054756527769222e-12,0.0,-4.946409197477727e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.193,4.054756527769222e-12,0.0,-4.946409186907626e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.293,4.054756527769222e-12,0.0,-4.946409166980287e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.393,4.054756527769222e-12,0.0,-4.946409143766657e-12,0.0,0.0,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.493,4.054756527769222e-12,0.0,-4.9464090639491574e-12,0.0,0.0,1e-12,0.0,0.0,4.2,-3.5,5.467174773131544,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.593,4.054756527769222e-12,0.0,-4.9464090305982925e-12,0.0,0.0,1e-12,0.0,0.0,4.2,-3.5,5.467174773131544,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.695,4.054756527769222e-12,0.0,-4.94640899584911e-12,0.0,0.0,1e-12,0.0,0.0,4.2,-3.5,5.467174773131544,0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.793,4.054756527769222e-12,0.0,-4.946408948596861e-12,0.0,0.0,1e-12,0.0,0.0,4.2,-3.5,5.467174773131544,0,0.0,0.0,0.0,0.0,0.0,0.0,1
