wp_idx,x,y
0,-5.060812,-0.758077
1,-4.968603,-0.860959
2,-4.922359,-1.026224
3,-4.929511,-1.209879
4,-4.943981,-1.425714
5,-4.951486,-1.549312
6,-4.957044,-1.685783
7,-4.957859,-1.835780
8,-4.952593,-1.985688
9,-4.924474,-2.113852
10,-4.862859,-2.220055
11,-4.771828,-2.315815
12,-4.646136,-2.397677
13,-4.504637,-2.447458
14,-4.357604,-2.463947
15,-4.208224,-2.450320
16,-4.059092,-2.434212
17,-3.910032,-2.417442
18,-3.761144,-2.399214
19,-3.614872,-2.378452
20,-3.484704,-2.355796
21,-3.277871,-2.303543
22,-3.108305,-2.233732
23,-2.980415,-2.169558
24,-2.931045,-2.016200
25,-2.925280,-1.866314
26,-2.947227,-1.730222
27,-2.970107,-1.605169
28,-2.992437,-1.456841
29,-3.009349,-1.314512
30,-3.021843,-1.180398
31,-3.031216,-1.053029
32,-3.038498,-0.930969
33,-3.050010,-0.696356
34,-3.056092,-0.570926
35,-3.129882,-0.679999
36,-2.947307,-0.779221
37,-2.965824,-0.640579
38,-3.071945,-0.709885
39,-2.937228,-0.775500
40,-2.965144,-0.653369
41,-3.074800,-0.728458
42,-2.946557,-0.761187
43,-3.000000,-0.750000
