diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,perception_backend,seed
668.304,0.0,1,0,nan,nan,nan,0,nan,nan,nan,nan,nan,325.7452694671414,374.30358443962695,-4.891550826940304e-12,nan,1,668.313,325.7452694671414,374.30358443962695,-4.891550826940304e-12,-0.009000000000014552,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.324,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550826940304e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550835009623e-12,nan,1,668.334,325.7452694671414,374.30358443962695,-4.891550835009623e-12,-0.009999999999990905,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.344,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550835009623e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550832834042e-12,nan,1,668.344,325.7452694671414,374.30358443962695,-4.891550832834042e-12,0.0,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.364,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550832834042e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550836841543e-12,nan,1,668.373,325.7452694671414,374.30358443962695,-4.891550836841543e-12,-0.009000000000014552,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.384,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550832232087e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550832232087e-12,nan,1,668.384,325.7452694671414,374.30358443962695,-4.891550832232087e-12,0.0,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.404,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550832232087e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550834843902e-12,nan,1,668.406,325.7452694671414,374.30358443962695,-4.891550834843902e-12,-0.0019999999999527063,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.424,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550834843902e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550835039762e-12,nan,1,668.432,325.7452694671414,374.30358443962695,-4.891550835039762e-12,-0.008000000000038199,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.444,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550835039762e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550832070465e-12,nan,1,668.445,325.7452694671414,374.30358443962695,-4.891550832070465e-12,-0.00100000000009004,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.464,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550832070465e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550827423038e-12,nan,1,668.465,325.7452694671414,374.30358443962695,-4.891550827423038e-12,-0.0009999999999763531,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.484,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550827423038e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550827881334e-12,nan,1,668.485,325.7452694671414,374.30358443962695,-4.891550827881334e-12,-0.0009999999999763531,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.504,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550820685875e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550820685875e-12,nan,1,668.506,325.7452694671414,374.30358443962695,-4.891550820685875e-12,-0.0019999999999527063,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.524,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550820685875e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550810931632e-12,nan,1,668.525,325.7452694671414,374.30358443962695,-4.891550810931632e-12,-0.0009999999999763531,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.544,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550810931632e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550799513268e-12,nan,1,668.548,325.7452694671414,374.30358443962695,-4.891550799513268e-12,-0.004000000000019099,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.564,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550799513268e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550793343898e-12,nan,1,668.564,325.7452694671414,374.30358443962695,-4.891550793343898e-12,0.0,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.584,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.8915507871770556e-12,nan,nan,325.7452694671414,374.30358443962695,-4.8915507871770556e-12,nan,1,668.588,325.7452694671414,374.30358443962695,-4.8915507871770556e-12,-0.004000000000019099,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.604,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.8915507871770556e-12,nan,nan,325.7452694671414,374.30358443962695,-4.8915507757974834e-12,nan,1,668.607,325.7452694671414,374.30358443962695,-4.8915507757974834e-12,-0.0029999999999290594,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.624,0.0,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.8915507757974834e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550765624933e-12,nan,1,668.625,325.7452694671414,374.30358443962695,-4.891550765624933e-12,-0.0009999999999763531,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.644,0.034,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550765624933e-12,nan,nan,325.7452694671414,374.30358443962695,-4.8915507649658845e-12,nan,1,0.033,325.7452694671414,374.30358443962695,-4.8915507649658845e-12,668.611,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
668.664,0.055,1,0,nan,nan,nan,1,-3.9999999999959326,1.107958935620287e-14,-4.891550747020932e-12,nan,nan,325.7452694671414,374.30358443962695,-4.891550747020932e-12,nan,1,668.676,325.7452694671414,374.30358443962695,-4.891550747020932e-12,-0.012000000000057298,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
