task,condition,label,seed,planner,run_dir,goal_reached,collision,completion_reason,path_length_m,min_goal_distance,final_goal_distance,elapsed_s,mean_loc_error_m,mean_loc_nll,mean_loc_nees,mean_overconf,f_shadow,mean_rho_plan,path_efficiency,mean_cov_trace,yolo_detection_rate,mean_solve_time_ms,p90_solve_time_ms,valid_run,is_clean_success,is_near_success,is_collision,is_penetration,is_timeout,is_interrupted,is_invalid,goal_region_entered,max_obstacle_penetration_m,max_wall_penetration_m,n_rows,outcome
b5_a4_apron_to_a2_mid,C2,C2,3,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b5_a4_apron_to_a2_mid/C2/seed3/experiment_20260613_010826,1,0,goal_reached,11.033944,0.193706,0.196494,37.893000,0.165156,57.210092,126.506492,5.798902,0.000000,0.802906,,0.001017,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,967,goal_reached
b5_a4_apron_to_a2_mid,C2,C2,4,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b5_a4_apron_to_a2_mid/C2/seed4/experiment_20260613_011225,0,0,stuck,10.570828,0.323460,0.323460,53.501000,0.261724,149.975438,312.783386,11.476551,0.229478,0.517097,,0.000725,1.000000,,0.000000,1,0,1,0,0,0,0,0,0,0.000000,0.000000,1086,stuck
b2_a0_west_to_a1_upper,C1,C1,0,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C1/seed0/experiment_20260613_011600,0,0,stuck,6.937920,1.186839,1.186839,34.806000,0.299844,160.777203,332.012229,8.495276,0.368571,0.264823,,0.034541,0.685950,,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,920,stuck
b2_a0_west_to_a1_upper,C1,C1,1,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C1/seed1/experiment_20260613_011851,0,0,stuck,7.005708,1.591330,1.591330,35.200000,0.137138,15.177557,40.724397,3.227607,0.940510,0.087159,,0.033887,0.683333,,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,933,stuck
b2_a0_west_to_a1_upper,C1,C1,2,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C1/seed2/experiment_20260613_012147,0,0,stuck,6.915658,1.162908,1.162908,34.797000,0.285032,167.453419,345.411708,8.740998,0.362857,0.298259,,0.035103,0.677419,,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,914,stuck
b2_a0_west_to_a1_upper,C1,C1,3,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C1/seed3/experiment_20260613_012457,0,0,stuck,6.785700,1.273780,1.273780,34.301000,0.246948,107.722387,225.939368,7.004773,0.942029,0.250952,,0.036196,0.682927,,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,909,stuck
b2_a0_west_to_a1_upper,C1,C1,4,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C1/seed4/experiment_20260613_012759,0,1,collision,7.460735,1.383436,1.383436,15.600000,0.207730,8.570571,24.190415,1.450670,0.867089,0.131551,,0.095924,0.236364,,0.000000,0,0,0,1,1,0,0,0,0,0.000000,0.001133,722,collision
b2_a0_west_to_a1_upper,C2,C2,0,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C2/seed0/experiment_20260613_013034,0,1,collision,7.698920,2.442651,2.442651,19.000000,0.208872,44.868706,101.592733,6.173965,0.000000,0.816241,,0.001340,0.967213,,0.000000,0,0,0,1,1,0,0,0,0,0.006076,0.000000,839,collision
b2_a0_west_to_a1_upper,C2,C2,1,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C2/seed1/experiment_20260613_013333,0,0,stuck,10.984362,0.294416,0.392541,42.405000,0.285972,204.883178,421.291488,8.332071,0.000000,0.767180,,0.002610,0.860000,,0.000000,1,0,1,0,0,0,0,0,0,0.000000,0.000000,1050,stuck
b2_a0_west_to_a1_upper,C2,C2,2,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C2/seed2/experiment_20260613_013643,0,1,collision,7.067131,2.861294,2.861294,16.900000,0.270321,115.418200,242.971661,8.832629,0.000000,0.807856,,0.001087,1.000000,,0.000000,0,0,0,1,1,0,0,0,0,0.003936,0.000000,786,collision
b2_a0_west_to_a1_upper,C2,C2,3,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C2/seed3/experiment_20260613_013916,0,1,collision,8.923561,1.275980,1.275980,19.703000,0.195207,19.713276,50.891478,4.488075,0.000000,0.824376,,0.002793,0.840580,,0.000000,0,0,0,1,1,0,0,0,0,0.009055,0.000000,851,collision
b2_a0_west_to_a1_upper,C2,C2,4,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b2_a0_west_to_a1_upper/C2/seed4/experiment_20260613_014236,0,1,collision,7.101569,2.385458,2.385458,16.800000,0.282831,115.330684,242.719646,8.898669,0.000000,0.816441,,0.001156,1.000000,,0.000000,0,0,0,1,1,0,0,0,0,0.005703,0.000000,799,collision
b6_a0_west_to_a1_low_control,C1,C1,0,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C1/seed0/experiment_20260613_014507,1,0,goal_reached,5.593350,0.028279,0.089579,14.203000,0.068072,5.505363,23.184806,2.440553,0.000000,0.836956,,0.001032,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,710,goal_reached
b6_a0_west_to_a1_low_control,C1,C1,1,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C1/seed1/experiment_20260613_014751,1,0,goal_reached,5.614162,0.053363,0.224870,14.700000,0.087982,36.219522,84.696894,3.156815,0.000000,0.838973,,0.000973,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,693,goal_reached
b6_a0_west_to_a1_low_control,C1,C1,2,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C1/seed2/experiment_20260613_015010,1,0,goal_reached,5.638426,0.045940,0.131428,14.300000,0.066544,5.109697,22.391586,2.280487,0.000000,0.837725,,0.001078,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,724,goal_reached
b6_a0_west_to_a1_low_control,C1,C1,3,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C1/seed3/experiment_20260613_015251,1,0,goal_reached,5.686168,0.008625,0.197675,14.505000,0.077171,19.372866,50.975335,2.755417,0.000000,0.837829,,0.001061,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,689,goal_reached
b6_a0_west_to_a1_low_control,C1,C1,4,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C1/seed4/experiment_20260613_015507,1,0,goal_reached,5.644306,0.112473,0.112473,14.806000,0.182958,69.728230,151.706224,6.727532,0.000000,0.836570,,0.001010,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,686,goal_reached
b6_a0_west_to_a1_low_control,C2,C2,0,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C2/seed0/experiment_20260613_015726,1,0,goal_reached,5.473977,0.011331,0.111587,14.205000,0.077490,9.403600,30.822602,2.615732,0.000000,0.839365,,0.001210,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,754,goal_reached
b6_a0_west_to_a1_low_control,C2,C2,1,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C2/seed1/experiment_20260613_015959,1,0,goal_reached,5.595115,0.016488,0.067948,14.800000,0.086163,26.437014,65.060131,3.045931,0.000000,0.838771,,0.001039,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,728,goal_reached
b6_a0_west_to_a1_low_control,C2,C2,2,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C2/seed2/experiment_20260613_020241,1,0,goal_reached,5.375614,0.014504,0.014504,14.000000,0.070741,10.445021,32.934985,2.411580,0.000000,0.839031,,0.001160,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,780,goal_reached
b6_a0_west_to_a1_low_control,C2,C2,3,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C2/seed3/experiment_20260613_020510,1,0,goal_reached,5.608997,0.133015,0.172217,15.500000,0.081884,7.687088,27.406459,2.810099,0.000000,0.837206,,0.001156,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,758,goal_reached
b6_a0_west_to_a1_low_control,C2,C2,4,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/robustness_campaign_v2/b6_a0_west_to_a1_low_control/C2/seed4/experiment_20260613_020739,1,0,goal_reached,5.617053,0.052027,0.099862,14.695000,0.068722,5.394537,22.790183,2.360318,0.000000,0.836342,,0.001109,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,736,goal_reached
