diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_age_s,state_fresh,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,pixel_pose_fresh,pred_world_x,pred_world_y,localization_error_m,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,bev_y_calibration_offset_m,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,yolo_score_raw,yolo_score_selected,yolo_detected_after_threshold,yolo_best_class_id,yolo_target_candidate_count,bbox_area_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,logit_margin,class_entropy,mask_area_px,mask_bottom_u,mask_bottom_v,mask_used,mask_polygon_points,confidence_logit,mask_compactness,mask_border_frac,mask_score,selected_pixel_source_code,yolo_raw_best_score,yolo_selected_score,yolo_num_target_candidates,yolo_selected_class_id,yolo_selected_pixel_source,yolo_bbox_area,yolo_mask_area,yolo_inference_ms,detector_callback_ms,yolo_receive_stamp,yolo_start_stamp,yolo_finish_stamp,yolo_publish_stamp,yolo_latency_s,frame_age_at_publish_s,detector_total_latency_s,camera_relative_bearing_deg,seed
6.073,7.15,1,1,-5.249999999995931,-0.75,-4.891722351178913e-12,0,nan,nan,nan,nan,0.0,nan,nan,132.50242394667933,281.9205074413962,nan,nan,1,6.073,132.50242394667933,281.9205074413962,0.0,1.077,1.0,-5.2740773189485735,-0.8251153689820054,0.07887988302000763,-5.2740773189485735,-0.7751153689820054,0.03479222681935639,0.05,nan,nan,nan,nan,nan,nan,nan,132.50242394667933,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,1813.1477879942395,1834.0565749967936,1781600357.7755375,1781600357.7975993,1781600359.610676,1781600360.0178416,1.8130767345428467,1781600353.9448416,1781600353.9448416,42.13759477363007,0
7.096,7.312,1,1,-5.249999999995931,-0.75,-4.8917223365497365e-12,1,-5.253518991578973,-0.7378180880513996,8.758115402030107e-44,1.2389999999999999,1.0,0.01267999528726151,2.802750444341736e-10,133.0171163760292,282.1575124218405,nan,nan,1,6.073,132.50242394667933,281.9205074413962,0.0,1.2389999999999999,1.0,-5.2740773189485735,-0.8251153689820054,0.07887988302000763,-5.2740773189485735,-0.7751153689820054,0.03479222681935639,0.05,nan,nan,nan,nan,nan,nan,nan,133.0171163760292,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,82.76007798849605,94.88047599734273,1781600359.9901884,1781600360.031944,1781600360.1146028,1781600360.515642,0.08265876770019531,1781600353.419642,1781600353.419642,42.13759477363007,0
7.261,7.509,1,1,-5.249999999995931,-0.75,-4.891722316864574e-12,1,-5.246550525776481,-0.7412173733737701,8.758115402030107e-44,0.41300000000000026,1.0,0.009435751313298438,2.8027504330629687e-10,131.84102435242482,282.41420735959696,nan,nan,1,7.096,133.0171163760292,282.1575124218405,0.0,0.41300000000000026,1.0,-5.267091129239116,-0.828527129770762,0.08036552002470554,-5.267091129239116,-0.778527129770762,0.033255132412383225,0.05,nan,nan,nan,nan,nan,nan,nan,131.84102435242482,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,130.17782599490602,143.7428779900074,1781600360.5070446,1781600360.5303824,1781600360.6604483,1781600361.0528185,0.13006591796875,1781600353.7918186,1781600353.7918186,42.13759477363007,0
7.459,7.705,1,1,-5.249999999995931,-0.75,-4.891722288563694e-12,1,-5.25694238657952,-0.7448497763385107,8.758115402030107e-44,0.44399999999999995,1.0,0.008644161916539788,2.802750416847759e-10,133.68069377071606,282.9996932678167,nan,nan,1,7.459,133.68069377071606,282.9996932678167,0.0,0.24600000000000044,1.0,-5.254394773839314,-0.8406334942689174,0.09073998192929271,-5.254394773839314,-0.7906334942689174,0.040870464808179297,0.05,nan,nan,nan,nan,nan,nan,nan,133.68069377071606,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,89.66876000340562,110.72593901189975,1781600361.0372758,1781600361.0763648,1781600361.1658914,1781600361.5630538,0.08952665328979492,1781600354.1040537,1781600354.1040537,42.13759477363007,0
7.657,7.881,1,1,-5.249999999995931,-0.75,-4.891722242505393e-12,1,-5.233870405199845,-0.7532479174890447,8.758115402030107e-44,0.4220000000000006,1.0,0.016453352129629437,2.802750390458296e-10,131.67295848977895,280.78719083364143,nan,nan,1,7.657,131.67295848977895,280.78719083364143,0.0,0.2240000000000002,1.0,-5.290561814754784,-0.8087714930666463,0.07140972772539,-5.290561814754784,-0.7587714930666463,0.041499396467294586,0.05,nan,nan,nan,nan,nan,nan,nan,131.67295848977895,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,77.01331899443176,94.07287399517372,1781600361.5402942,1781600361.5815823,1781600361.6584375,1781600362.0363243,0.07685518264770508,1781600354.3793242,1781600354.3793242,42.13759477363007,0
7.822,8.086,1,1,-5.249999999995931,-0.75,-4.891722215149218e-12,1,-5.269984100384715,-0.7215782826258443,8.758115402030107e-44,0.42900000000000027,1.0,0.034744183496599246,2.8027503747843624e-10,131.75341926304858,282.0939382840347,nan,nan,1,7.657,131.67295848977895,280.78719083364143,0.0,0.42900000000000027,1.0,-5.290561814754784,-0.8087714930666463,0.07140972772539,-5.290561814754784,-0.7587714930666463,0.041499396467294586,0.05,nan,nan,nan,nan,nan,nan,nan,131.75341926304858,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,103.20230000070296,120.71436700352933,1781600361.9957829,1781600362.0551643,1781600362.1581485,1781600362.5400238,0.10298418998718262,1781600354.7180238,1781600354.7180238,42.13759477363007,0
8.02,8.293000000000001,1,1,-5.249999999995931,-0.75,-4.891722188709691e-12,1,-5.260069472332795,-0.7402752871773732,8.758115402030107e-44,0.471000000000001,1.0,0.013998725392885629,2.8027503596356294e-10,130.0516629509471,281.83382064075494,nan,nan,1,8.02,130.0516629509471,281.83382064075494,0.0,0.27300000000000146,1.0,-5.300148967094438,-0.823867041892999,0.08928190622443731,-5.300148967094438,-0.7738670418929989,0.05553876654886492,0.05,nan,nan,nan,nan,nan,nan,nan,130.0516629509471,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,104.42824100027792,116.77789100212976,1781600362.4318435,1781600362.553241,1781600362.6574986,1781600363.0580318,0.10425758361816406,1781600355.0380318,1781600355.0380318,42.13759477363007,0
8.218,8.48,1,1,-5.249999999995931,-0.75,-4.89172217272205e-12,1,-5.279493432031067,-0.7365129737278544,8.758115402030107e-44,0.46000000000000085,1.0,0.032430886680396794,2.802750350475386e-10,131.13078277833287,281.3203449499841,nan,nan,1,8.02,130.0516629509471,281.83382064075494,0.0,0.46000000000000085,1.0,-5.300148967094438,-0.823867041892999,0.08928190622443731,-5.300148967094438,-0.7738670418929989,0.05553876654886492,0.05,nan,nan,nan,nan,nan,nan,nan,131.13078277833287,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,114.88408400327899,126.74155199783854,1781600362.9768994,1781600363.071041,1781600363.1858342,1781600363.5348356,0.11479306221008301,1781600355.3168356,1781600355.3168356,42.13759477363007,0
8.416,8.711,1,1,-5.249999999995931,-0.75,-4.891722181176445e-12,1,-5.271892055099489,-0.7291988425949489,8.758115402030107e-44,0.4930000000000003,1.0,0.030198513639696067,2.8027503553193974e-10,131.83243474272862,281.73631214831835,nan,nan,1,8.416,131.83243474272862,281.73631214831835,0.0,0.29499999999999993,1.0,-5.282316237676989,-0.8224623652279858,0.0793418779226495,-5.282316237676989,-0.7724623652279857,0.03935602964596452,0.05,nan,nan,nan,nan,nan,nan,nan,131.83243474272862,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,90.96223099913914,102.074865004397,1781600363.5212054,1781600363.5469854,1781600363.637831,1781600363.9554088,0.09084558486938477,1781600355.539409,1781600355.539409,42.13759477363007,0
8.647,8.938,1,1,-5.249999999995931,-0.75,-4.8917221570183756e-12,1,-5.261733300934089,-0.7351674633391998,8.758115402030107e-44,0.5220000000000002,1.0,0.01891228422743666,2.802750341477843e-10,132.78832426196007,283.0951256741302,nan,nan,1,8.647,132.78832426196007,283.0951256741302,0.0,0.29100000000000037,1.0,-5.262997569799442,-0.8420036891612699,0.09291725157407907,-5.262997569799442,-0.7920036891612698,0.043968701640527276,0.05,nan,nan,nan,nan,nan,nan,nan,132.78832426196007,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,83.19044498784933,94.2881710070651,1781600363.9229758,1781600363.9674115,1781600364.0505452,1781600364.3413546,0.08313369750976562,1781600355.6943545,1781600355.6943545,42.13759477363007,0
8.878,9.162,1,1,-5.249999999995931,-0.75,-4.891722135664102e-12,1,-5.242436305195974,-0.754583337302901,8.758115402030107e-44,0.5150000000000006,1.0,0.008844007002431925,2.8027503292427457e-10,132.2481590626419,283.41907577523716,nan,nan,1,8.647,132.78832426196007,283.0951256741302,0.0,0.5150000000000006,1.0,-5.262997569799442,-0.8420036891612699,0.09291725157407907,-5.262997569799442,-0.7920036891612698,0.043968701640527276,0.05,nan,nan,nan,nan,nan,nan,nan,132.2481590626419,0.9314048290252686,0.9314048290252686,1.0,0.0,291.0,638.5264704376459,118.6630859375,258.7718505859375,146.09030151367188,282.0526123046875,nan,nan,nan,nan,nan,0.0,nan,2.6084718769304907,nan,nan,nan,1.0,0.9314048290252686,0.9314048290252686,291.0,0.0,bbox_bottom,638.5264704376459,nan,70.21143499878235,83.70979900064413,1781600364.3183444,1781600364.3556335,1781600364.4257421,1781600364.7317975,0.07010865211486816,1781600355.8537974,1781600355.8537974,42.13759477363007,0
