stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,seed
1.34,4.068321128261229e-12,-1.6719655149148603e-23,-4.891723938585452e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.4,4.068321158607826e-12,-1.671965529759577e-23,-4.891723955718629e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.48,4.068321171087146e-12,-1.671965535864118e-23,-4.891723989909485e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.58,4.068321177121156e-12,-1.67196553881579e-23,-4.891724002874668e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6800000000000002,4.068321181787272e-12,-1.6719655410983234e-23,-4.891724010462987e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.78,4.0683211804806544e-12,-1.6719655404591624e-23,-4.891724025686229e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.88,4.068321179845213e-12,-1.6719655401483235e-23,-4.891724017715001e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.98,4.0683211784693745e-12,-1.671965539475301e-23,-4.8917240295180875e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.08,4.068321178241239e-12,-1.6719655393637037e-23,-4.891724020943235e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.16,4.068321181651981e-12,-1.6719655410321434e-23,-4.891724027502956e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.26,4.068321183162644e-12,-1.671965541771115e-23,-4.891724018848791e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.36,4.068321183389555e-12,-1.6719655418821154e-23,-4.891724013199847e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.46,4.0683211828576015e-12,-1.671965541621899e-23,-4.891724028927789e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.56,4.068321182940442e-12,-1.6719655416624226e-23,-4.891724027459439e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.68,4.068321183326616e-12,-1.671965541851329e-23,-4.891724047129874e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.76,4.068321182212318e-12,-1.6719655413062448e-23,-4.89172405938461e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.88,4.068321176268475e-12,-1.6719655383986807e-23,-4.891724009841331e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.96,4.068321171749528e-12,-1.671965536188135e-23,-4.8917239637097855e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.08,4.068321167763689e-12,-1.6719655342383723e-23,-4.891723896853402e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.18,4.068321164347812e-12,-1.6719655325674188e-23,-4.8917238502519915e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.26,4.068321161353245e-12,-1.6719655311025595e-23,-4.891723843021777e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
