stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,seed
4.489,4.069607383439001e-12,0.0,-4.891723294141236e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.588,4.069607383439001e-12,0.0,-4.8917232479060205e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.687,4.069607383439001e-12,0.0,-4.891723192137588e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.786,4.069607383439001e-12,0.0,-4.891723120564831e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.885,4.069607383439001e-12,0.0,-4.891723084373436e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,0,0.0,0
4.984,4.069607383439001e-12,0.0,-4.891723038348853e-12,0.0,0.0,1e-12,0.0,0.0,3.0,3.0,4.242640687116407,63,4.3133511555602455,0
5.08,4.361493155684178e-12,3.198748188987296e-15,0.06599999996324929,0.0,0.0,1e-12,0.0,1.0,3.0,3.0,4.242640687116199,63,4.3133511555602455,0
5.18,0.009336783030745302,0.0012967180935173613,0.16599999994829512,0.0,0.0,1e-12,0.1755629759105932,1.0,3.0,3.0,4.2351254822318545,63,4.3133511555602455,0
5.281,0.026615858714511945,0.005093411745018387,0.2659999999326046,0.0,0.0,1e-12,0.18757376787702548,1.0,3.0,3.0,4.22024628712841,63,4.3133511555602455,0
5.38,0.04442359052652983,0.010926074289234892,0.36599999991574445,0.0,0.0,1e-12,0.19303613413605147,1.0,3.0,3.0,4.203569298298775,63,4.3133511555602455,0
5.461,0.0587938200326781,0.017091581862432283,0.442089528588512,0.0,0.0,1e-12,0.20243422233854053,0.8046374941701242,3.0,3.0,4.189085392311063,63,4.3133511555602455,0
5.569,0.07671222194602477,0.026501358187594037,0.5224099248090408,0.0,0.0,1e-12,0.20783838700462576,0.6681138662665085,3.0,3.0,4.169808821298642,63,4.3133511555602455,0
5.665,0.09431115338291653,0.03747685514558604,0.5901321672088586,0.0,0.0,1e-12,0.21030918100585017,0.595828289941692,3.0,3.0,4.149647100315038,63,4.3133511555602455,0
5.788,0.1149363881594065,0.05233346344846288,0.6553998674062789,0.0,0.0,1e-12,0.21433251584056026,0.4549519990369153,3.0,3.0,4.124600593399611,63,4.3133511555602455,0
5.86,0.128357647554353,0.06304272446985566,0.6907481471577311,0.0,0.0,1e-12,0.21550353397249283,0.4050529430685703,3.0,3.0,4.107559839935265,63,4.3133511555602455,0
5.997,0.14797195739508176,0.0800323917281958,0.7348883200444757,0.0,0.0,1e-12,0.21743090586309297,0.30594770508630176,3.0,3.0,4.081699987647475,63,4.3133511555602455,0
6.091,0.16389484833626589,0.09486397320360293,0.7643608242292151,0.0,0.0,1e-12,0.2183039959409272,0.2485000576846046,3.0,3.0,4.059964010368064,63,4.3133511555602455,0
6.185,0.1794670068593199,0.11017441059570071,0.7885275091869453,0.0,0.0,1e-12,0.21869791324917576,0.2177048208814205,3.0,3.0,4.038130545508779,63,4.3133511555602455,0
6.264,0.19171435348903407,0.12269861888208236,0.8039750066313203,0.0,0.0,1e-12,0.2191737578053292,0.1733897231060575,3.0,3.0,4.020613325126229,63,4.3133511555602455,0
6.361,0.20679446510436156,0.13861683980092257,0.8201639229706315,0.0,0.0,1e-12,0.2195799903837371,0.12360396092881953,3.0,3.0,3.9986886287434897,63,4.3133511555602455,0
6.469,0.22166674829832447,0.15476989508633582,0.8326187177396984,0.0,0.0,1e-12,0.21975157095966086,0.09505516287780957,3.0,3.0,3.976741129042501,63,4.3133511555602455,0
6.588,0.2392909422808602,0.17438342413343802,0.8442238788703503,0.0,0.0,1e-12,0.2198636741086214,0.07041176891830259,3.0,3.0,3.9503953644140957,63,4.3133511555602455,0
6.69,0.2538370332938593,0.19087059863335604,0.8511235062331786,0.0,0.0,1e-12,0.21990727045357644,0.05807082239492711,3.0,3.0,3.928437225326477,63,4.3133511555602455,0
6.782,0.2682937009930826,0.2074459491503922,0.8557322830436641,0.0,0.0,1e-12,0.21997245615687727,0.031648304786909165,3.0,3.0,3.906478904454832,63,4.3133511555602455,0
6.898,0.28268445392376407,0.22408173022561093,0.8592991228030747,0.0,0.0,1e-12,0.21998823437662457,0.02068440628989987,3.0,3.0,3.884523911293999,63,4.3133511555602455,0
6.989,0.2970323235048157,0.24075783440694776,0.8612455255949993,0.0,0.0,1e-12,0.21999741124466174,0.009702409101569387,3.0,3.0,3.862570593343818,63,4.3133511555602455,0
7.096,0.311354939928459,0.2574566006649711,0.8622045255914979,0.0,0.0,1e-12,0.21999997154638296,-0.0010171907417688697,3.0,3.0,3.840619293327996,63,4.3133511555602455,0
7.192,0.3256708143462123,0.2741615286838987,0.8621693702189811,0.0,0.0,1e-12,0.21999882717774613,-0.006530552798297062,3.0,3.0,3.8186688734356835,63,4.3133511555602455,0
7.289,0.3399940453081542,0.29085994539456433,0.8613780572183276,0.0,0.0,1e-12,0.21999544111456948,-0.012875489294331022,3.0,3.0,3.796718519256283,63,4.3133511555602455,0
7.386,0.3543345119743801,0.30754319434821303,0.8600953198415877,0.0,0.0,1e-12,0.21999209764095679,-0.016951702893504228,3.0,3.0,3.774767479571486,63,4.3133511555602455,0
7.481,0.3686990985728154,0.3242053316920089,0.8584799350032929,0.0,0.0,1e-12,0.21999007061394024,-0.019001876225155367,3.0,3.0,3.752815148764589,63,4.3133511555602455,0
7.582,0.3830932241187176,0.3408414766900863,0.8565002590390777,0.0,0.0,1e-12,0.21998692356290256,-0.021806226500137527,3.0,3.0,3.730861177495771,63,4.3133511555602455,0
7.681,0.39752265287606264,0.3574465968761393,0.8542490047408462,0.0,0.0,1e-12,0.21998417063172235,-0.023992088170295744,3.0,3.0,3.708905071669366,63,4.3133511555602455,0
7.78,0.41199074738235886,0.37401774366318485,0.851825415163238,0.0,0.0,1e-12,0.21998225982053032,-0.02539893905764723,3.0,3.0,3.686946528257538,63,4.3133511555602455,0
7.88,0.4264998605616654,0.3905527790923023,0.8492869943930372,0.0,0.0,1e-12,0.21998132419797856,-0.02606011669473962,3.0,3.0,3.6649853705563458,63,4.3133511555602455,0
7.98,0.4410514377495319,0.4070503434175537,0.8466884711556143,0.0,0.0,1e-12,0.2199810023727112,-0.02628369747867887,3.0,3.0,3.6430215022443613,63,4.3133511555602455,0
8.086,0.45564613054944736,0.4235097053973156,0.8440525882653492,0.0,0.0,1e-12,0.21998081813346748,-0.026410841633667026,3.0,3.0,3.621054936226434,63,4.3133511555602455,0
8.18,0.470284216158014,0.43993048209401864,0.8414136205425313,0.0,0.0,1e-12,0.21998119342229042,-0.02615120067513832,3.0,3.0,3.5990857010538995,63,4.3133511555602455,0
8.284,0.4849654601647381,0.4563127309347709,0.8387989183126787,0.0,0.0,1e-12,0.21998178421429118,-0.025737158908862412,3.0,3.0,3.5771138728546075,63,4.3133511555602455,0
8.383,0.49968921752021644,0.47265684789205353,0.8362188777949009,0.0,0.0,1e-12,0.21998223879056317,-0.025413989295264505,3.0,3.0,3.555139577779134,63,4.3133511555602455,0
8.482,0.5144547483900043,0.4889633349892344,0.8336910393508535,0.0,0.0,1e-12,0.21998353437614637,-0.02446952037216521,3.0,3.0,3.5331629357884675,63,4.3133511555602455,0
8.581,0.5292609256134266,0.5052330654411831,0.8312391587796774,0.0,0.0,1e-12,0.21998454346703755,-0.02370785366921302,3.0,3.0,3.5111840782659938,63,4.3133511555602455,0
8.68,0.5441064866752611,0.521466997437846,0.8288593525085634,0.0,0.0,1e-12,0.21998518256508842,-0.023212536773472348,3.0,3.0,3.489203174591628,63,4.3133511555602455,0
8.76,0.5560103185565913,0.5344291603413092,0.8270179370445432,0.0,0.0,1e-12,0.21998624958667828,-0.02236113231958825,3.0,3.0,3.4716170768644856,63,4.3133511555602455,0
8.871,0.5709231791129744,0.5506015437740555,0.8247837837060303,0.0,0.0,1e-12,0.2199875411377087,-0.02128506081863324,3.0,3.0,3.449632878891993,63,4.3133511555602455,0
8.977,0.5858715393886048,0.5667412561182396,0.8226321487914143,0.0,0.0,1e-12,0.2199883923874605,-0.020545041086402538,3.0,3.0,3.4276470557819962,63,4.3133511555602455,0
9.075,0.600853731232899,0.5828497536902882,0.8205981500182014,0.0,0.0,1e-12,0.21998957371796998,-0.019471531092723593,3.0,3.0,3.405659720549633,63,4.3133511555602455,0
9.169,0.6158680707485934,0.5989284143038874,0.8186458205198147,0.0,0.0,1e-12,0.21999050851132976,-0.01857814641873512,3.0,3.0,3.38367105607405,63,4.3133511555602455,0
9.273,0.6309132717201131,0.6149782996542169,0.8167616262531927,0.0,0.0,1e-12,0.21999124771947318,-0.017840035221719397,3.0,3.0,3.3616811920871066,63,4.3133511555602455,0
