planner,task,seed,return_code,run_dir,log_path,samples,duration_s,min_goal_dist,final_goal_dist,success,time_to_goal_s,final_plan_length,mean_efe_total,mean_efe_risk,mean_efe_ambiguity,mean_cmd_v,mean_abs_cmd_w
efe1,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_142927,/tmp/compare_batch_logs/01_efe1_T1_edge_hug_s0.log,269,26.784999999999997,0.0,1.3380490512796426,1,0.0,2.434190414472458,69513.21906981588,69483.0976730513,29.836155064332893,0.15480479560864532,0.04405638184698337
efe2,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143024,/tmp/compare_batch_logs/02_efe2_T1_edge_hug_s0.log,280,27.900999999999996,0.0,2.593777161815137,1,0.0,5.488556140441725,75047.18007236897,75026.89199446522,20.06507492381355,0.1038836259345301,0.02982021662613625
mpc,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143121,/tmp/compare_batch_logs/03_mpc_T1_edge_hug_s0.log,256,25.46,0.0,1.8481033509166818,1,0.0,3.428819083210016,84620.21329365337,84619.92211778006,0.0,0.14341456081180667,0.06318741913591172
efer,T1_edge_hug,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143219,/tmp/compare_batch_logs/04_efer_T1_edge_hug_s0.log,272,27.101,0.0,4.144371018865798,1,0.0,5.4870552942015145,35990.54987131518,35990.4398919225,0.0,0.04960078428962295,0.02767869720899892
efe1,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143315,/tmp/compare_batch_logs/05_efe1_T2_diag_far_s0.log,275,27.380000000000003,0.0,2.377886963319245,1,0.0,3.452407016837027,200008.76981643614,3628.1966262963024,16.497309502423267,0.12367628506162597,0.07975542720930269
efe2,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143412,/tmp/compare_batch_logs/06_efe2_T2_diag_far_s0.log,302,30.098,0.0,5.6568542494895135,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpc,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143509,/tmp/compare_batch_logs/07_mpc_T2_diag_far_s0.log,257,25.545,0.0,1.762420007876433,1,0.0,4.722488396653467,5370.000266702931,5369.57753722415,0.0,0.15260580907332874,0.03524184529963709
efer,T2_diag_far,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143606,/tmp/compare_batch_logs/08_efer_T2_diag_far_s0.log,241,23.959000000000003,0.0,3.7958805793823407,1,0.0,5.683095010215991,3760.834394618483,3760.5955177383353,0.0,0.07868356438936554,0.03449948154187619
efe1,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143704,/tmp/compare_batch_logs/09_efe1_T3_corners_s0.log,231,23.002000000000002,0.0,2.4410023457669108,1,0.0,4.363230059170635,100861.19913657516,100833.48926368132,27.429684594345684,0.14108952107558695,0.052428972687200766
efe2,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143801,/tmp/compare_batch_logs/10_efe2_T3_corners_s0.log,214,21.307,0.0,4.470752531707417,1,0.0,5.682745415017017,50503.24300782613,50491.845428185225,11.251316217840982,0.05686211424038236,0.036677207519062574
