stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,seed
0.9600000000000001,4.068249444466247e-12,-1.6719304492155916e-23,-4.891714427778032e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.08,4.068314645616119e-12,-1.6719623437841374e-23,-4.891723027803048e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.18,4.06832026378886e-12,-1.6719650920388482e-23,-4.891723795016223e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.28,4.06832103941409e-12,-1.6719654714532938e-23,-4.8917239259168905e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.38,4.068321150696789e-12,-1.6719655258897152e-23,-4.891723954890963e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.48,4.068321171087146e-12,-1.671965535864118e-23,-4.891723989909485e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.58,4.068321177121156e-12,-1.67196553881579e-23,-4.891724002874668e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.6800000000000002,4.068321181787272e-12,-1.6719655410983234e-23,-4.891724010462987e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.78,4.0683211804806544e-12,-1.6719655404591624e-23,-4.891724025686229e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.88,4.068321179845213e-12,-1.6719655401483235e-23,-4.891724017715001e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.98,4.0683211784693745e-12,-1.671965539475301e-23,-4.8917240295180875e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.08,4.068321178241239e-12,-1.6719655393637037e-23,-4.891724020943235e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.18,4.0683211806599806e-12,-1.6719655405468834e-23,-4.891724033588656e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.26,4.068321183162644e-12,-1.671965541771115e-23,-4.891724018848791e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.36,4.068321183389555e-12,-1.6719655418821154e-23,-4.891724013199847e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.46,4.0683211828576015e-12,-1.671965541621899e-23,-4.891724028927789e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.56,4.068321182940442e-12,-1.6719655416624226e-23,-4.891724027459439e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.66,4.068321182252945e-12,-1.6719655413261172e-23,-4.891724038493023e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.76,4.068321182212318e-12,-1.6719655413062448e-23,-4.89172405938461e-12,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.88,4.068321176268475e-12,-1.6719655383986807e-23,-4.891724009841331e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.96,4.068321171749528e-12,-1.671965536188135e-23,-4.8917239637097855e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.08,4.068321167763689e-12,-1.6719655342383723e-23,-4.891723896853402e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.18,4.068321164347812e-12,-1.6719655325674188e-23,-4.8917238502519915e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.26,4.068321161353245e-12,-1.6719655311025595e-23,-4.891723843021777e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.38,4.068321160427772e-12,-1.6719655306498463e-23,-4.891723788073021e-12,1e-12,1e-12,1e-12,0.0,0.0,3.0,3.0,4.242640687116409,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
3.48,0.00697127370685767,0.00012898327865204525,0.03699999998284909,1e-12,1e-12,1e-12,0.19141145794438189,1.0,3.0,3.0,4.237622809238775,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
3.58,0.0259405856821196,0.0017866621694042888,0.13699999996926862,1e-12,1e-12,1e-12,0.19745284072074462,0.9133987856872123,3.0,3.0,4.223069099486545,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
3.68,0.045367874415993395,0.005398551871178289,0.2272869759943072,1e-12,1e-12,1e-12,0.2037331435495532,0.7739243120689843,3.0,3.0,4.206838341399429,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
3.7800000000000002,0.06513591147914813,0.01077292076207426,0.30173906852492893,1e-12,1e-12,1e-12,0.20862782073380584,0.6458687523527038,3.0,3.0,4.189141409565763,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
3.88,0.08476011521511984,0.01762407202581195,0.3683171297154313,1e-12,1e-12,1e-12,0.21112734758101862,0.5699423136491631,3.0,3.0,4.170514328185489,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
3.98,0.10427890164640233,0.025797371510309416,0.42359161918975796,1e-12,1e-12,1e-12,0.21378859469108608,0.4763824223156169,3.0,3.0,4.151033841679101,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
4.08,0.1235321356473819,0.035058485428827495,0.4716053431721548,1e-12,1e-12,1e-12,0.21509196179512816,0.42325134061342795,3.0,3.0,4.13097392384422,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
4.18,0.14251431119595684,0.045242937273966014,0.5123966489230216,1e-12,1e-12,1e-12,0.21649068269824756,0.3577041424200411,3.0,3.0,4.1104517709674315,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
4.28,0.16117938079485702,0.05619955020810871,0.5483637589337198,1e-12,1e-12,1e-12,0.21686496613728812,0.3380429275113419,3.0,3.0,4.089604332477558,12,4.282714445671236,1217.8591333128024,1413.087595468731,-195.5323591287364,0.30389697280764427,0.0,0
4.38,0.17952955734181786,0.0678260963419048,0.5799788320774422,1e-12,1e-12,1e-12,0.21778562167810653,0.2840040381298474,3.0,3.0,4.068500622981641,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
4.48,0.1976003895774781,0.080026289341136,0.6065829866020096,1e-12,1e-12,1e-12,0.21866320886704896,0.2205898808138338,3.0,3.0,4.0471829767673215,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
4.58,0.21541966589268668,0.09269432459912347,0.6288176776190145,1e-12,1e-12,1e-12,0.21885816341146827,0.2038560702745853,3.0,3.0,4.025706637016084,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
4.68,0.23299895233278464,0.10574880365212015,0.6481802308346856,1e-12,1e-12,1e-12,0.21920002340387554,0.17060980328930397,3.0,3.0,4.004120975364331,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
4.78,0.2503568076696113,0.11913364387556415,0.665291924042526,1e-12,1e-12,1e-12,0.2193100447686614,0.15843738863854462,3.0,3.0,3.9824525919310747,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
4.88,0.2675067933187436,0.13280840962510235,0.6806957179102651,1e-12,1e-12,1e-12,0.21951756210277185,0.13247494766704104,3.0,3.0,3.9607204824975657,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
4.98,0.28446964060008584,0.14673914375028402,0.6941412348934862,1e-12,1e-12,1e-12,0.21958365427062132,0.12306348941270095,3.0,3.0,3.938934201865968,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
5.08,0.30126347493165806,0.16089008397036006,0.706036212868369,1e-12,1e-12,1e-12,0.21970452208314822,0.10366801599664588,3.0,3.0,3.917106578462702,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
5.18,0.31790381451750654,0.17523431788158564,0.716540137859133,1e-12,1e-12,1e-12,0.21974401340169608,0.09649046245851212,3.0,3.0,3.895245962330704,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
5.28,0.33440680634682274,0.18974617304467956,0.7258701677810279,1e-12,1e-12,1e-12,0.219815356330633,0.08194665746028607,3.0,3.0,3.8733594780199745,12,4.165555376004882,1144.7421281397794,1339.9829383634144,-195.53236290959748,0.2915526859625086,0.0,0
5.38,0.35078547489699924,0.20440597358570284,0.7341318410615505,1e-12,1e-12,1e-12,0.2198239178383346,0.08002400895674167,3.0,3.0,3.8514521366025076,12,3.9409643176257068,997.9874854277157,1193.1210377502675,-195.53265725746638,0.39910493491463245,0.0,0
5.48,0.3670265669922285,0.21920202646002418,0.7443734253947153,1e-12,1e-12,1e-12,0.21968619623312297,0.10683519948966791,3.0,3.0,3.829541286964898,12,3.9409643176257068,997.9874854277157,1193.1210377502675,-195.53265725746638,0.39910493491463245,0.0,0
5.58,0.38310817233904987,0.234172137636621,0.7546258723745779,1e-12,1e-12,1e-12,0.21979864416101413,0.08557539191059904,3.0,3.0,3.8076142926909298,12,3.9409643176257068,997.9874854277157,1193.1210377502675,-195.53265725746638,0.39910493491463245,0.0,0
5.66,0.3958739217549352,0.2462629920120653,0.7616901594457322,1e-12,1e-12,1e-12,0.21983314338634605,0.07789916785308715,3.0,3.0,3.7900580655919196,12,3.9409643176257068,997.9874854277157,1193.1210377502675,-195.53265725746638,0.39910493491463245,0.0,0
5.76,0.41172474678528836,0.26149648846638673,0.7692341864341424,1e-12,1e-12,1e-12,0.21988466650360736,0.06476350682135945,3.0,3.0,3.7680990259128824,12,3.9409643176257068,997.9874854277157,1193.1210377502675,-195.53265725746638,0.39910493491463245,0.0,0
5.86,0.4274712830045195,0.27684367828731155,0.7757107861001622,1e-12,1e-12,1e-12,0.21991505411577247,0.05558003281365331,3.0,3.0,3.7461292492718656,12,3.9409643176257068,997.9874854277157,1193.1210377502675,-195.53265725746638,0.39910493491463245,0.0,0
