task,planner,n_runs,start_goal_dist_mean,min_goal_dist_mean,final_goal_dist_mean,dist_reduction_mean,dist_reduction_frac_mean,dist_reduction_frac_std,mean_cmd_v,mean_abs_cmd_w
T1_edge_hug,efe1,2,5.467174773131544,1.7392940298587034,1.7392940298587034,3.7278807432728405,0.6818660273297878,0.07339165020861987,0.15771490685410283,0.0727056588446967
T1_edge_hug,efe2,2,5.467174773131544,2.77883182789812,2.77883182789812,2.6883429452334235,0.49172434699642265,0.0338483172318608,0.11007455747441779,0.03408360287411091
T1_edge_hug,mpc,2,5.363060187522036,1.1506319173761255,1.1506319173761255,4.21242827014591,0.7878971383315017,0.12593340525298263,0.18670630651967635,0.05225872916247522
T1_edge_hug,efer,2,5.467174773131544,3.8657255348779005,3.8657255348779005,1.601449238253643,0.29292080548146604,0.05096699768174637,0.06958581494028328,0.03064707061817342
T2_diag_far,efe1,2,5.6568542494895135,2.0739970574077047,2.0739970574077047,3.582857192081809,0.6333656541363308,0.05372065330107528,0.14897558813442674,0.06167850801333517
T2_diag_far,efe2,2,5.6568542494895135,4.551051244800627,4.551051244800627,1.1058030046888863,0.19548020081809184,0.19548020081809184,0.046040199956196,0.017678345467677437
T2_diag_far,mpc,2,5.6568542494895135,2.368672640826864,2.368672640826864,3.2881816086626494,0.581273878314857,0.10717133696791653,0.15155758952598472,0.039730667120663817
T2_diag_far,efer,2,5.6568542494895135,3.4760648102629674,3.4760648102629674,2.180789439226546,0.38551275020447007,0.05653597476870367,0.09806099849248892,0.036953336487016306
T3_corners,efe1,2,5.6568542494895135,2.2576525630055677,2.2576525630055677,3.399201686483946,0.6008996407836912,0.03241196867992291,0.15245841337912813,0.0502609526985793
T3_corners,efe2,2,5.6568542494895135,5.063803390598466,5.063803390598466,0.5930508588910484,0.10483757097764478,0.10483757097764478,0.03042123111860456,0.019622306022698478
T3_corners,mpc,2,5.6568542494895135,2.0667735481213514,2.0667735481213514,3.5900807013681626,0.6346426022364178,0.09389378974672197,0.16415871308023416,0.0943080481158787
T3_corners,efer,2,5.6568542494895135,4.444707748194126,4.444707748194126,1.2121465012953871,0.2142792527144877,0.19265291442558,0.04992676144330448,0.02695326578632573
